 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, rowcost
G phrygian (1#), 5+0:0:0:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:2, 7+0:0:2:0:3, 2+0:0:0:0:0, 7+0:0:1:0:1, 2+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:1:0:1, 59+0:0:7:0:12
F lydian (1b), 5+0:0:0:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:2, 7+0:0:2:0:3, 2+0:0:0:0:0, 7+0:0:1:0:1, 2+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:1:0:1, 59+0:0:7:0:12
G lydian (1#), 4+0:2:0:0:0, 6+0:4:1:0:1, 4+0:2:0:0:1, 5+0:3:0:0:0, 6+0:6:1:0:3, 8+0:6:2:0:3, 4+0:2:0:0:1, 8+0:5:1:0:2, 4+0:2:0:0:0, 7+0:5:1:0:2, 4+0:2:0:0:0, 5+0:3:0:0:0, 5+0:3:0:0:0, 5+0:4:0:0:2, 6+0:4:1:0:1, 81+0:53:7:0:16
F mixolydian (1b), 3+0:0:0:0:1, 2+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 5+0:0:2:0:3, 2+0:0:0:0:0, 5+0:0:1:0:1, 0+0:0:0:0:0, 3+0:0:1:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:1:0:1, 33+0:0:7:0:12
G mixolydian (1#), 5+0:0:0:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:2, 7+0:0:2:0:3, 2+0:0:0:0:0, 7+0:0:1:0:1, 2+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:1:0:1, 59+0:0:7:0:12
F aeolian (1b), 4+0:0:0:0:1, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:2, 6+0:0:2:0:3, 1+0:0:0:0:0, 6+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:1:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:1:0:1, 44+0:0:7:0:12
G aeolian (1#), 5+0:0:0:0:1, 5+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:2, 8+0:0:2:0:3, 3+0:0:0:0:0, 8+0:0:1:0:1, 3+0:0:0:0:0, 6+0:0:1:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:1:0:1, 72+0:0:7:0:12
F locrian (1b), 4+0:1:0:0:1, 1+0:0:1:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:2:0:2, 2+0:0:0:0:0, 4+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:1:0:1, 28+0:1:7:0:8
G locrian (1#), 4+0:0:0:0:1, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:2, 6+0:0:2:0:3, 1+0:0:0:0:0, 6+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:1:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:1:0:1, 44+0:0:7:0:12
Bb major (2b), 3+0:0:0:0:1, 2+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 5+0:0:2:0:3, 2+0:0:0:0:0, 5+0:0:1:0:1, 0+0:0:0:0:0, 3+0:0:1:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:1:0:1, 33+0:0:7:0:12
