 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
Bb minor (5b), 3+0:0:0:0:0, 3+0:0:1:0:1, 4+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:0, 5+0:3:0:0:4, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:1:0:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 5+0:2:1:1:2, 3+0:0:0:0:0, 5+0:2:1:1:2, 1+0:0:0:0:0, 70+0:8:4:2:15
G# minor (5#), 5+0:2:0:0:5, 7+0:5:1:0:7, 5+0:2:0:0:4, 5+0:4:0:0:5, 5+0:2:0:0:5, 6+0:0:0:0:4, 4+0:2:0:0:4, 5+0:1:0:0:3, 6+0:3:0:0:5, 6+0:4:0:0:6, 6+0:2:0:0:6, 7+0:1:0:0:5, 4+0:0:0:0:3, 6+0:1:0:0:5, 8+0:2:0:0:6, 8+0:5:1:0:7, 7+0:4:0:0:6, 6+0:2:0:0:4, 4+0:3:0:0:4, 7+0:4:0:0:7, 5+0:2:0:0:4, 9+0:5:1:1:8, 4+0:2:0:0:3, 9+0:5:1:1:8, 3+0:2:0:0:3, 147+0:65:4:2:127
Gb major (6b), 3+0:0:0:0:2, 2+0:0:1:0:1, 4+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 7+0:0:0:0:5, 2+0:0:0:0:1, 6+0:3:0:0:5, 1+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:2, 4+0:0:0:0:3, 4+0:0:0:0:3, 5+0:0:0:0:4, 5+0:1:0:0:3, 3+0:0:1:0:1, 2+0:0:0:0:1, 5+0:0:0:0:3, 0+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:1:2:0:2, 3+0:0:0:0:1, 4+0:1:2:0:2, 1+0:0:0:0:0, 78+0:6:6:0:45
F# major (6#), 5+0:2:0:0:3, 7+0:5:1:0:6, 5+0:2:0:0:3, 5+0:4:0:0:5, 5+0:2:0:0:4, 7+0:0:0:0:2, 4+0:2:0:0:3, 5+0:1:0:0:3, 6+0:3:0:0:5, 6+0:4:0:0:5, 6+0:2:0:0:3, 7+0:1:0:0:3, 5+0:0:0:0:2, 6+0:1:0:0:3, 8+0:2:0:0:5, 8+0:5:1:0:6, 7+0:4:0:0:6, 6+0:2:0:0:4, 4+0:3:0:0:4, 7+0:4:0:0:5, 4+0:2:0:0:3, 9+0:5:1:1:7, 4+0:2:0:0:3, 9+0:5:1:1:7, 3+0:2:0:0:3, 148+0:65:4:2:103
Eb minor (6b), 2+0:0:0:0:0, 3+0:0:1:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:2, 2+0:0:0:0:0, 6+0:3:0:0:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 5+0:1:0:0:1, 4+0:0:1:0:0, 2+0:0:0:0:1, 6+0:0:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:2:0:1, 3+0:0:0:0:0, 5+0:1:2:0:1, 1+0:0:0:0:0, 80+0:6:6:0:14
D# minor (6#), 5+0:2:0:0:5, 7+0:5:1:0:7, 5+0:2:0:0:4, 5+0:4:0:0:5, 5+0:2:0:0:5, 7+0:0:0:0:5, 4+0:2:0:0:4, 6+0:1:0:0:4, 6+0:3:0:0:5, 6+0:4:0:0:6, 6+0:2:0:0:5, 7+0:1:0:0:6, 5+0:0:0:0:4, 6+0:1:0:0:6, 8+0:2:0:0:7, 8+0:5:1:0:7, 7+0:4:0:0:6, 6+0:2:0:0:5, 4+0:3:0:0:4, 7+0:4:0:0:7, 4+0:2:0:0:4, 9+0:5:1:1:8, 4+0:2:0:0:4, 9+0:5:1:1:8, 3+0:2:0:0:3, 149+0:65:4:2:134
Cb major (7b), 3+0:0:0:0:3, 3+0:0:0:0:1, 4+0:0:0:0:3, 1+0:0:0:0:1, 3+0:0:0:0:2, 8+0:0:0:0:6, 2+0:0:0:0:2, 7+0:3:0:0:6, 2+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:3, 5+0:0:0:0:4, 5+0:0:0:0:4, 6+0:0:0:0:5, 6+0:1:0:0:5, 4+0:0:0:0:1, 2+0:1:1:0:2, 6+0:0:0:0:4, 1+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:2, 5+0:1:0:0:2, 3+0:0:0:0:2, 5+0:1:0:0:2, 1+0:0:0:0:1, 95+0:7:1:0:65
C# major (7#), 5+0:2:0:0:4, 7+0:5:1:0:7, 6+0:2:0:0:4, 5+0:4:0:0:5, 5+0:2:0:0:5, 8+0:0:0:0:3, 4+0:2:0:0:4, 5+0:2:1:0:3, 6+0:3:0:0:5, 6+0:4:0:0:6, 6+0:2:0:0:4, 7+0:1:0:0:4, 5+0:0:0:0:2, 7+0:1:0:0:4, 8+0:2:0:0:6, 8+0:5:1:0:7, 7+0:4:0:0:6, 7+0:2:0:0:4, 4+0:3:0:0:4, 7+0:4:0:0:6, 4+0:2:0:0:4, 9+0:5:1:1:8, 4+0:2:0:0:4, 9+0:5:1:1:8, 3+0:2:0:0:3, 152+0:66:5:2:120
Ab minor (7b), 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:0:0:3, 1+0:0:0:0:0, 7+0:3:0:0:5, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:2, 5+0:0:0:0:2, 5+0:1:0:0:2, 3+0:0:0:0:0, 3+0:1:1:0:1, 6+0:0:0:0:3, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 80+0:7:1:0:21
A# minor (7#), 5+0:2:0:0:5, 7+0:5:1:0:7, 6+0:2:0:0:4, 5+0:4:0:0:5, 5+0:2:0:0:5, 8+0:0:0:0:6, 4+0:2:0:0:4, 6+0:2:1:0:4, 6+0:3:0:0:5, 6+0:4:0:0:6, 6+0:2:0:0:5, 7+0:1:0:0:6, 5+0:0:0:0:5, 7+0:1:0:0:6, 8+0:2:0:0:7, 8+0:5:1:0:7, 7+0:4:0:0:7, 8+0:2:0:0:6, 4+0:3:0:0:4, 7+0:4:0:0:7, 4+0:2:0:0:4, 9+0:5:1:1:8, 4+0:2:0:0:4, 9+0:5:1:1:8, 3+0:2:0:0:3, 154+0:66:5:2:138
