 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
E minor blues (1#), 2+0:1:0:0:0, 4+0:3:1:0:1, 2+0:1:0:0:0, 4+0:3:1:0:1, 4+0:2:1:0:1, 4+0:3:1:0:1, 2+0:1:0:0:0, 5+0:3:1:0:1, 3+0:1:0:0:0, 3+0:1:0:0:0, 6+0:5:0:2:3, 4+0:2:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:1, 5+0:2:0:0:0, 5+0:2:0:0:0, 4+0:3:1:0:1, 2+0:1:0:0:0, 4+0:3:1:0:1, 4+0:2:1:0:1, 4+0:3:1:0:1, 3+0:1:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:2:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:2:0:0:0, 5+0:2:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:0, 120+0:56:9:2:13
F dorian (1b), 1+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:1:0:1, 3+0:0:1:0:1, 3+0:0:1:0:1, 2+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:2:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:1:0:1, 3+0:0:1:0:1, 3+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 82+0:0:9:2:12
G dorian (1#), 2+0:1:0:0:0, 4+0:3:1:0:1, 2+0:2:0:0:0, 4+0:3:1:0:1, 4+0:3:1:0:1, 4+0:3:1:0:1, 2+0:2:0:0:0, 5+0:4:1:0:1, 3+0:2:0:0:0, 3+0:2:0:0:0, 6+0:6:0:2:3, 4+0:2:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:0, 4+0:2:0:0:1, 5+0:3:0:0:0, 5+0:3:0:0:0, 4+0:3:1:0:1, 2+0:2:0:0:0, 4+0:3:1:0:1, 4+0:3:1:0:1, 4+0:3:1:0:1, 3+0:2:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 3+0:2:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 6+0:3:0:0:0, 5+0:3:0:0:0, 3+0:2:0:0:0, 4+0:2:0:0:0, 118+0:78:9:2:13
F phrygian (1b), 0+0:0:0:0:0, 2+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:1:0:1, 2+0:0:1:0:1, 2+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:0:2:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:1:0:1, 2+0:0:1:0:1, 2+0:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 41+0:0:9:2:12
G phrygian (1#), 1+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:1:0:1, 3+0:0:1:0:1, 3+0:0:1:0:1, 2+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:2:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:1:0:1, 3+0:0:1:0:1, 3+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 82+0:0:9:2:12
F lydian (1b), 1+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:1:0:1, 3+0:0:1:0:1, 3+0:0:1:0:1, 2+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:2:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:1:0:1, 3+0:0:1:0:1, 3+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 82+0:0:9:2:12
G lydian (1#), 2+0:1:0:0:0, 4+0:3:1:0:1, 2+0:2:0:0:0, 4+0:3:1:0:1, 4+0:3:1:0:1, 4+0:3:1:0:1, 2+0:2:0:0:0, 5+0:4:1:0:1, 3+0:2:0:0:0, 3+0:2:0:0:0, 6+0:6:0:2:3, 4+0:2:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:0, 4+0:2:0:0:1, 5+0:3:0:0:0, 5+0:3:0:0:0, 4+0:3:1:0:1, 2+0:2:0:0:0, 4+0:3:1:0:1, 4+0:3:1:0:1, 4+0:3:1:0:1, 3+0:2:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 3+0:2:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 6+0:3:0:0:0, 5+0:3:0:0:0, 3+0:2:0:0:0, 4+0:2:0:0:0, 118+0:78:9:2:13
F mixolydian (1b), 0+0:0:0:0:0, 2+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:1:0:1, 2+0:0:1:0:1, 2+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:0:2:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:1:0:1, 2+0:0:1:0:1, 2+0:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 41+0:0:9:2:12
G mixolydian (1#), 1+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:1:0:1, 3+0:0:1:0:1, 3+0:0:1:0:1, 2+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:2:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:1:0:1, 3+0:0:1:0:1, 3+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 82+0:0:9:2:12
F aeolian (1b), 1+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:1:0:1, 3+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:2:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:1:0:1, 3+0:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 61+0:0:9:2:12
