 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, rowcost
C locrian (0), 1+0:0:1:0:1, 0+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 0+0:0:0:0:0, 5+0:0:3:0:3
F major (1b), 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:0:0:0
G major (1#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 17+0:0:0:0:0
D minor (1b), 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:0
E minor (1#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 15+0:0:0:0:0
D minor mel (1b), 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 9+0:0:0:0:0
E minor mel (1#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
F major blues (1b), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 17+0:0:0:0:0
G major blues (1#), 2+0:1:0:0:0, 3+0:1:0:0:0,  ,  , 3+0:1:0:0:0, 4+0:1:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:1:0:0:0, 17+0:6:0:0:0
D minor blues (1b), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 17+0:0:0:0:0
E minor blues (1#), 2+0:1:0:0:0, 3+0:1:0:0:0,  ,  , 3+0:1:0:0:0, 4+0:1:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:1:0:0:0, 17+0:6:0:0:0
F dorian (1b), 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 11+0:0:0:0:0
G dorian (1#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 15+0:9:0:0:0
F phrygian (1b), 1+0:0:1:0:1, 0+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 0+0:0:0:0:0, 5+0:0:3:0:3
G phrygian (1#), 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 11+0:0:0:0:0
F lydian (1b), 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 11+0:0:0:0:0
G lydian (1#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 15+0:9:0:0:0
F mixolydian (1b), 1+0:0:1:0:1, 0+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 0+0:0:0:0:0, 5+0:0:3:0:3
G mixolydian (1#), 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 11+0:0:0:0:0
F aeolian (1b), 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:0:0:0
G aeolian (1#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 17+0:0:0:0:0
F locrian (1b), 1+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 1+0:0:0:0:0, 8+0:0:3:0:3
G locrian (1#), 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:0:0:0
Bb major (2b), 1+0:0:1:0:1, 0+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 0+0:0:0:0:0, 5+0:0:3:0:3
D major (2#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 15+0:9:0:0:0
G minor (2b), 2+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 3+0:1:1:0:1, 2+0:1:0:0:0,  ,  , 2+0:0:1:0:1, 1+0:0:0:0:0, 11+0:2:3:0:3
B minor (2#), 2+0:1:0:0:2, 4+0:1:0:0:2,  ,  , 2+0:0:0:0:1, 4+0:0:0:0:1,  ,  , 2+0:1:0:0:2, 4+0:1:0:0:2, 18+0:4:0:0:10
G minor mel (2b), 2+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 3+0:1:0:0:0, 3+0:1:0:0:0,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:0, 14+0:2:0:0:0
B minor mel (2#), 2+0:1:0:0:2, 4+0:1:0:0:2,  ,  , 2+0:0:0:0:1, 4+0:0:0:0:1,  ,  , 2+0:1:0:0:2, 4+0:1:0:0:2, 18+0:4:0:0:10
Bb major blues (2b), 3+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 3+0:0:0:0:0, 18+0:0:0:0:0
D major blues (2#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 3+0:1:0:0:0, 4+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 17+0:9:0:0:0
G minor blues (2b), 3+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 3+0:0:0:0:0, 18+0:0:0:0:0
B minor blues (2#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 3+0:1:0:0:0, 4+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 17+0:9:0:0:0
Bb dorian (2b), 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:0:0:0
D dorian (2#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 15+0:9:0:0:0
Bb phrygian (2b), 1+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 1+0:0:0:0:0, 8+0:0:3:0:3
D phrygian (2#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 17+0:0:0:0:0
Bb lydian (2b), 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:0:0:0
D lydian (2#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 15+0:9:0:0:0
Bb mixolydian (2b), 1+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 1+0:0:0:0:0, 8+0:0:3:0:3
D mixolydian (2#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 17+0:0:0:0:0
Bb aeolian (2b), 1+0:0:1:0:1, 0+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 0+0:0:0:0:0, 5+0:0:3:0:3
D aeolian (2#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 15+0:9:0:0:0
Bb locrian (2b), 2+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:0, 10+0:0:3:0:3
D locrian (2#), 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 11+0:0:0:0:0
Eb major (3b), 1+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 1+0:0:0:0:0, 8+0:0:3:0:3
A major (3#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 15+0:9:0:0:0
C minor (3b), 1+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 3+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 2+0:0:0:0:0, 11+0:0:3:0:3
F# minor (3#), 2+0:1:0:0:1, 3+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:1:0:0:1, 3+0:0:0:0:0, 14+0:2:0:0:2
C minor mel (3b), 1+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 1+0:0:0:0:0, 8+0:0:3:0:3
F# minor mel (3#), 2+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:0, 10+0:0:0:0:0
Eb major blues (3b), 2+0:0:1:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:0, 12+0:0:3:0:0
A major blues (3#), 3+0:0:0:0:0, 4+0:1:0:0:0,  ,  , 3+0:0:0:0:0, 4+0:1:0:0:0,  ,  , 3+0:0:0:0:0, 4+0:1:0:0:0, 21+0:3:0:0:0
C minor blues (3b), 2+0:0:1:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:0, 12+0:0:3:0:0
F# minor blues (3#), 3+0:0:0:0:0, 4+0:1:0:0:0,  ,  , 3+0:0:0:0:0, 4+0:1:0:0:0,  ,  , 3+0:0:0:0:0, 4+0:1:0:0:0, 21+0:3:0:0:0
Eb dorian (3b), 1+0:0:1:0:1, 0+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 0+0:0:0:0:0, 5+0:0:3:0:3
A dorian (3#), 2+0:0:0:0:0, 3+0:1:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:1:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:1:0:0:0, 13+0:3:0:0:0
Eb phrygian (3b), 2+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:0, 10+0:0:3:0:3
A phrygian (3#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 15+0:9:0:0:0
Eb lydian (3b), 1+0:0:1:0:1, 0+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 0+0:0:0:0:0, 5+0:0:3:0:3
A lydian (3#), 2+0:0:0:0:0, 3+0:1:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:1:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:1:0:0:0, 13+0:3:0:0:0
Eb mixolydian (3b), 2+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:0, 10+0:0:3:0:3
A mixolydian (3#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 15+0:9:0:0:0
Eb aeolian (3b), 1+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 1+0:0:0:0:0, 8+0:0:3:0:3
A aeolian (3#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 15+0:9:0:0:0
Eb locrian (3b), 2+0:0:1:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:0, 10+0:0:3:0:0
A locrian (3#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 17+0:0:0:0:0
Ab major (4b), 2+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:0, 10+0:0:3:0:3
E major (4#), 2+0:0:0:0:0, 3+0:1:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:1:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:1:0:0:0, 13+0:3:0:0:0
F minor (4b), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
C# minor (4#), 2+0:0:0:0:1, 3+0:0:0:0:1,  ,  , 1+0:0:0:0:1, 2+0:0:0:0:1,  ,  , 2+0:0:0:0:1, 3+0:0:0:0:1, 13+0:0:0:0:6
F minor mel (4b), 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 11+0:0:0:0:0
C# minor mel (4#), 2+0:0:0:0:1, 4+0:0:0:0:1,  ,  , 1+0:0:0:0:1, 3+0:0:0:0:1,  ,  , 2+0:0:0:0:1, 4+0:0:0:0:1, 16+0:0:0:0:6
Ab major blues (4b), 2+0:0:1:0:0, 2+0:0:0:0:1,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:1,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:1, 12+0:0:3:0:3
E major blues (4#), 3+0:0:0:0:0, 5+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 5+0:0:0:0:0, 22+0:0:0:0:0
F minor blues (4b), 2+0:0:1:0:0, 2+0:0:0:0:1,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:1,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:1, 12+0:0:3:0:3
C# minor blues (4#), 3+0:0:0:0:0, 5+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 5+0:0:0:0:0, 22+0:0:0:0:0
Ab dorian (4b), 1+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 1+0:0:0:0:0, 8+0:0:3:0:3
E dorian (4#), 2+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 4+0:0:0:0:0, 16+0:0:0:0:0
Ab phrygian (4b), 2+0:0:1:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:0, 10+0:0:3:0:0
E phrygian (4#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 15+0:9:0:0:0
Ab lydian (4b), 1+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 1+0:0:0:0:0, 8+0:0:3:0:3
E lydian (4#), 2+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 4+0:0:0:0:0, 16+0:0:0:0:0
Ab mixolydian (4b), 2+0:0:1:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:0, 10+0:0:3:0:0
E mixolydian (4#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 15+0:9:0:0:0
Ab aeolian (4b), 2+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:0, 10+0:0:3:0:3
E aeolian (4#), 2+0:0:0:0:0, 3+0:1:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:1:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:1:0:0:0, 13+0:3:0:0:0
Ab locrian (4b), 2+0:0:1:0:0, 2+0:0:0:0:1,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:1,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:1, 10+0:0:3:0:3
E locrian (4#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 15+0:9:0:0:0
Db major (5b), 2+0:0:1:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:0, 10+0:0:3:0:0
B major (5#), 2+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 4+0:0:0:0:0, 16+0:0:0:0:0
Bb minor (5b), 2+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 0+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 1+0:0:0:0:0, 7+0:0:3:0:3
G# minor (5#), 2+0:0:0:0:2, 4+0:0:0:0:2,  ,  , 1+0:0:0:0:1, 3+0:0:0:0:1,  ,  , 2+0:0:0:0:2, 4+0:0:0:0:2, 16+0:0:0:0:10
Bb minor mel (5b), 2+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 0+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 1+0:0:0:0:0, 7+0:0:3:0:3
G# minor mel (5#), 2+0:0:0:0:1, 3+0:0:0:0:1,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:1, 3+0:0:0:0:1, 13+0:0:0:0:4
Db major blues (5b), 3+0:0:0:0:1, 3+0:0:0:0:2,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:1,  ,  , 3+0:0:0:0:1, 3+0:0:0:0:2, 16+0:0:0:0:7
B major blues (5#), 4+0:0:0:0:1, 5+0:0:0:0:1,  ,  , 3+0:0:0:0:1, 4+0:0:0:0:1,  ,  , 4+0:0:0:0:1, 5+0:0:0:0:1, 25+0:0:0:0:6
Bb minor blues (5b), 3+0:0:0:0:1, 3+0:0:0:0:2,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:1,  ,  , 3+0:0:0:0:1, 3+0:0:0:0:2, 16+0:0:0:0:7
G# minor blues (5#), 4+0:0:0:0:1, 5+0:0:0:0:1,  ,  , 3+0:0:0:0:1, 4+0:0:0:0:1,  ,  , 4+0:0:0:0:1, 5+0:0:0:0:1, 25+0:0:0:0:6
Db dorian (5b), 2+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:0, 10+0:0:3:0:3
B dorian (5#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
Db phrygian (5b), 2+0:0:1:0:0, 2+0:0:0:0:1,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:1,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:1, 10+0:0:3:0:3
B phrygian (5#), 2+0:0:0:0:0, 3+0:1:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:1:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:1:0:0:0, 13+0:3:0:0:0
Db lydian (5b), 2+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:0, 10+0:0:3:0:3
B lydian (5#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
Db mixolydian (5b), 2+0:0:1:0:0, 2+0:0:0:0:1,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:1,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:1, 10+0:0:3:0:3
B mixolydian (5#), 2+0:0:0:0:0, 3+0:1:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:1:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:1:0:0:0, 13+0:3:0:0:0
Db aeolian (5b), 2+0:0:1:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:0, 10+0:0:3:0:0
B aeolian (5#), 2+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 4+0:0:0:0:0, 16+0:0:0:0:0
Db locrian (5b), 3+0:0:0:0:1, 3+0:0:0:0:2,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:1,  ,  , 3+0:0:0:0:1, 3+0:0:0:0:2, 16+0:0:0:0:7
B locrian (5#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 15+0:9:0:0:0
Gb major (6b), 2+0:0:1:0:0, 2+0:0:0:0:1,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:1,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:1, 10+0:0:3:0:3
F# major (6#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
Eb minor (6b), 1+0:0:1:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:0, 8+0:0:3:0:0
D# minor (6#), 1+0:0:0:0:0, 2+0:0:0:0:1,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:1,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:1, 11+0:0:0:0:3
Eb minor mel (6b), 1+0:0:1:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:0, 8+0:0:3:0:0
