 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, rowcost
Eb major (3b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:1:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:1:0:0:2
A major (3#), 6+0:3:0:0:2, 3+0:1:0:0:1, 6+0:3:0:0:2, 3+0:1:0:0:1, 7+0:4:0:0:3, 3+0:1:0:0:1, 6+0:3:0:0:2, 3+0:1:0:0:1, 4+0:1:0:0:0, 2+0:1:0:0:0, 6+0:3:0:0:2, 3+0:1:0:0:1, 6+0:3:0:0:2, 4+0:3:0:0:2, 3+0:1:0:0:1, 65+0:30:0:0:21
C minor (3b), 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 15+0:1:0:0:1
F# minor (3#), 6+0:3:0:0:5, 3+0:1:0:0:2, 6+0:3:0:0:5, 3+0:1:0:0:2, 7+0:4:0:0:6, 3+0:1:0:0:3, 6+0:3:0:0:5, 3+0:1:0:0:2, 5+0:0:0:0:1, 2+0:1:0:0:1, 6+0:3:0:0:5, 3+0:1:0:0:2, 6+0:3:0:0:5, 4+0:3:0:0:4, 3+0:1:0:0:2, 66+0:29:0:0:50
Ab major (4b), 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:1:0:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 12+0:1:0:0:3
E major (4#), 7+0:3:0:0:3, 3+0:1:0:0:1, 7+0:3:0:0:3, 3+0:1:0:0:1, 7+0:4:0:0:4, 3+0:1:0:0:1, 7+0:3:0:0:3, 3+0:1:0:0:1, 5+0:0:0:0:0, 3+0:1:0:0:1, 7+0:3:0:0:3, 3+0:1:0:0:1, 7+0:3:0:0:3, 4+0:3:0:0:3, 3+0:1:0:0:1, 72+0:29:0:0:29
F minor (4b), 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 23+0:1:0:0:1
C# minor (4#), 7+0:3:0:0:6, 3+0:1:0:0:3, 7+0:3:0:0:6, 3+0:1:0:0:3, 7+0:4:0:0:7, 3+0:1:0:0:3, 7+0:3:0:0:6, 3+0:1:0:0:3, 5+0:0:0:0:2, 3+0:1:0:0:2, 7+0:3:0:0:6, 3+0:1:0:0:3, 7+0:3:0:0:6, 4+0:3:0:0:4, 3+0:1:0:0:3, 72+0:29:0:0:63
Db major (5b), 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 6+0:1:0:0:4, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 24+0:1:0:0:10
B major (5#), 7+0:3:0:0:4, 3+0:1:0:0:1, 7+0:3:0:0:4, 3+0:1:0:0:1, 7+0:4:0:0:5, 3+0:1:0:0:2, 7+0:3:0:0:4, 3+0:1:0:0:1, 6+0:0:0:0:0, 3+0:1:0:0:1, 7+0:3:0:0:4, 3+0:1:0:0:1, 7+0:3:0:0:4, 4+0:3:0:0:3, 3+0:1:0:0:1, 73+0:29:0:0:36
Bb minor (5b), 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 30+0:1:0:0:1
G# minor (5#), 6+0:3:0:0:6, 3+0:1:0:0:3, 7+0:3:0:0:7, 3+0:1:0:0:3, 7+0:4:0:0:7, 3+0:1:0:0:3, 7+0:3:0:0:7, 3+0:1:0:0:3, 7+0:0:0:0:3, 3+0:1:0:0:3, 7+0:3:0:0:7, 3+0:1:0:0:3, 7+0:3:0:0:7, 4+0:3:0:0:4, 3+0:1:0:0:3, 73+0:29:0:0:69
Gb major (6b), 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:1, 7+0:1:0:0:5, 2+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:1, 38+0:1:0:0:23
F# major (6#), 7+0:3:0:0:5, 3+0:1:0:0:2, 7+0:3:0:0:5, 3+0:1:0:0:2, 7+0:4:0:0:6, 3+0:1:0:0:3, 7+0:3:0:0:5, 3+0:1:0:0:2, 7+0:0:0:0:1, 3+0:1:0:0:1, 7+0:3:0:0:5, 3+0:1:0:0:2, 7+0:3:0:0:5, 4+0:3:0:0:4, 3+0:1:0:0:2, 74+0:29:0:0:50
Eb minor (6b), 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:1:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 32+0:1:0:0:2
D# minor (6#), 7+0:3:0:0:7, 3+0:1:0:0:3, 7+0:3:0:0:7, 3+0:1:0:0:3, 7+0:4:0:0:7, 3+0:1:0:0:3, 7+0:3:0:0:7, 3+0:1:0:0:3, 7+0:0:0:0:4, 3+0:1:0:0:3, 7+0:3:0:0:7, 3+0:1:0:0:3, 7+0:3:0:0:7, 4+0:3:0:0:4, 3+0:1:0:0:3, 74+0:29:0:0:71
Cb major (7b), 4+0:0:0:0:3, 2+0:0:0:0:2, 4+0:0:0:0:3, 2+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:3, 2+0:0:0:0:2, 7+0:1:0:0:6, 2+0:0:0:0:2, 4+0:0:0:0:3, 2+0:0:0:0:2, 4+0:0:0:0:3, 1+0:0:0:0:1, 2+0:0:0:0:2, 45+0:1:0:0:37
C# major (7#), 7+0:3:0:0:6, 3+0:1:0:0:3, 7+0:3:0:0:6, 3+0:1:0:0:3, 7+0:4:0:0:7, 3+0:1:0:0:3, 7+0:3:0:0:6, 3+0:1:0:0:3, 7+0:0:0:0:2, 3+0:1:0:0:2, 7+0:3:0:0:6, 3+0:1:0:0:3, 7+0:3:0:0:6, 4+0:3:0:0:4, 3+0:1:0:0:3, 74+0:29:0:0:63
Ab minor (7b), 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+0:1:0:0:3, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 33+0:1:0:0:3
A# minor (7#), 7+0:3:0:0:7, 3+0:1:0:0:3, 7+0:3:0:0:7, 3+0:1:0:0:3, 7+0:4:0:0:7, 3+0:1:0:0:3, 7+0:3:0:0:7, 3+0:1:0:0:3, 7+0:0:0:0:5, 3+0:1:0:0:3, 7+0:3:0:0:7, 3+0:1:0:0:3, 7+0:3:0:0:7, 4+0:3:0:0:4, 3+0:1:0:0:3, 74+0:29:0:0:72
