 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, rowcost
Bb minor (5b), 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:1:0:0:1, 2+0+0:0:0:0:0, 7+0+3:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 6+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:1:0:0:1, 2+0+0:0:0:0:0, 7+0+3:0:0:0:1, 0+0+0:0:0:0:0, 50+0+16:2:0:0:4
G# minor (5#), 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 5+0+3:0:0:0:2, 3+0+1:0:0:0:0, 5+0+1:0:0:0:1, 4+0+2:0:0:0:1, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:1, 2+0+4:0:0:0:1, 4+0+1:0:0:0:1, 4+0+2:0:0:0:1, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 5+0+3:0:0:0:2, 3+0+1:0:0:0:0, 5+0+1:0:0:0:1, 4+0+2:0:0:0:1, 0+0+0:0:0:0:0, 76+0+25:0:0:0:12
Gb major (6b), 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:1:0:0:1, 2+0+1:0:0:0:0, 8+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+1:1:0:0:1, 2+0+0:0:0:0:0, 7+0+3:0:0:0:1, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:1:0:0:1, 2+0+1:0:0:0:0, 8+0+3:0:0:0:0, 0+0+0:0:0:0:0, 57+0+20:3:0:0:4
F# major (6#), 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+3:0:0:0:2, 2+0+1:0:0:0:0, 4+0+4:0:0:0:0, 4+0+2:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:1, 2+0+4:0:0:0:1, 4+0+1:0:0:0:1, 4+0+3:0:0:0:1, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+3:0:0:0:2, 2+0+1:0:0:0:0, 4+0+4:0:0:0:0, 4+0+2:0:0:0:1, 0+0+0:0:0:0:0, 62+0+32:0:0:0:10
Eb minor (6b), 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:1:0:0:1, 2+0+1:0:0:0:0, 8+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+1:1:0:0:1, 2+0+0:0:0:0:0, 7+0+3:0:0:0:1, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:1:0:0:1, 2+0+1:0:0:0:0, 8+0+3:0:0:0:0, 0+0+0:0:0:0:0, 57+0+20:3:0:0:4
D# minor (6#), 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:1, 2+0+1:0:0:0:0, 4+0+1:0:0:0:1, 4+0+2:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:1, 2+0+4:0:0:0:1, 4+0+1:0:0:0:1, 4+0+3:0:0:0:1, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:1, 2+0+1:0:0:0:0, 4+0+1:0:0:0:1, 4+0+2:0:0:0:1, 0+0+0:0:0:0:0, 64+0+22:0:0:0:10
Cb major (7b), 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+1:1:0:0:1, 3+0+1:0:0:0:0, 8+0+3:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:1:0:0:1, 2+0+0:0:0:0:0, 8+0+3:1:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+1:1:0:0:1, 3+0+1:0:0:0:0, 8+0+3:0:0:0:0, 0+0+0:0:0:0:0, 72+0+20:4:0:0:3
C# major (7#), 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:1, 2+0+1:0:0:0:0, 4+0+4:0:0:0:0, 4+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:1, 1+0+4:0:0:0:1, 4+0+1:0:0:0:1, 4+0+3:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:1, 2+0+1:0:0:0:0, 4+0+4:0:0:0:0, 4+0+2:0:0:0:0, 0+0+0:0:0:0:0, 60+0+28:0:0:0:5
Ab minor (7b), 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+1:1:0:0:1, 3+0+1:0:0:0:0, 8+0+3:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:1:0:0:1, 2+0+0:0:0:0:0, 8+0+3:1:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+1:1:0:0:1, 3+0+1:0:0:0:0, 8+0+3:0:0:0:0, 0+0+0:0:0:0:0, 72+0+20:4:0:0:3
A# minor (7#), 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:1, 2+0+1:0:0:0:0, 4+0+1:0:0:0:1, 4+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:1, 1+0+4:0:0:0:1, 4+0+1:0:0:0:1, 4+0+3:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:1, 2+0+1:0:0:0:0, 4+0+1:0:0:0:1, 4+0+2:0:0:0:0, 0+0+0:0:0:0:0, 60+0+22:0:0:0:7
