 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, rowcost
Bb minor (5b), 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:2, 1+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:1:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 5+0:1:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:1:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:2, 1+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:1:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:1:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:1, 8+2:0:0:2:2, 3+0:0:0:0:1, 80+2:7:3:2:24
G# minor (5#), 2+0:0:0:0:2, 2+0:0:0:0:2, 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:3, 1+0:0:0:0:1, 2+0:1:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:1, 5+0:1:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:3, 3+0:0:0:0:3, 2+0:0:0:0:2, 2+0:0:0:0:2, 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:3, 1+0:0:0:0:1, 4+0:0:0:0:3, 4+0:1:0:0:4, 3+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:3, 3+0:0:0:0:3, 9+2:6:0:2:6, 5+0:0:0:0:4, 81+2:9:0:2:63
Gb major (6b), 4+0:0:0:0:3, 3+0:0:0:0:2, 4+0:1:0:0:4, 1+0:0:0:0:1, 4+0:1:0:0:4, 2+0:0:1:0:1, 3+0:0:0:0:3, 0+0:0:0:0:0, 5+0:1:0:0:4, 2+0:0:0:0:2, 4+0:0:0:0:3, 1+0:0:0:0:0, 5+0:1:0:0:3, 2+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:3, 4+0:0:0:0:3, 3+0:0:0:0:2, 4+0:1:0:0:4, 1+0:0:0:0:1, 4+0:1:0:0:4, 2+0:0:1:0:1, 3+0:0:0:0:3, 0+0:0:0:0:0, 4+0:0:0:0:2, 2+0:0:0:0:1, 5+0:0:0:0:4, 5+0:1:0:0:4, 3+0:0:0:0:2, 4+0:0:0:0:4, 10+2:0:0:2:4, 5+0:0:0:0:4, 105+2:7:2:2:80
F# major (6#), 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:1, 4+0:1:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 0+0:0:0:0:0, 4+0:0:0:0:2, 4+0:1:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:0:0:1, 10+2:6:0:2:5, 5+0:0:0:0:2, 97+2:9:0:2:30
Eb minor (6b), 4+0:0:0:0:2, 2+0:0:0:0:1, 3+0:1:0:0:3, 1+0:0:0:0:1, 4+0:1:0:0:2, 2+0:0:1:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:1:0:0:3, 1+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 3+0:1:0:0:3, 1+0:0:0:0:1, 4+0:1:0:0:2, 2+0:0:1:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:2, 5+0:1:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:2, 10+2:0:0:2:3, 4+0:0:0:0:1, 86+2:7:2:2:35
D# minor (6#), 3+0:0:0:0:2, 2+0:0:1:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:4, 0+0:0:0:0:0, 3+0:1:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:3, 1+0:0:0:0:1, 4+0:1:0:0:4, 1+0:0:0:0:1, 4+0:0:0:0:4, 3+0:0:0:0:3, 3+0:0:0:0:2, 2+0:0:1:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:4, 0+0:0:0:0:0, 4+0:0:0:0:4, 4+0:1:0:0:4, 4+0:0:0:0:3, 4+0:0:0:0:2, 4+0:0:0:0:4, 4+0:0:0:0:3, 10+2:6:0:2:7, 5+0:0:0:0:5, 96+2:9:2:2:70
Cb major (7b), 4+0:0:0:0:4, 2+0:0:0:0:2, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4, 1+0:0:0:0:1, 4+0:0:0:0:3, 1+0:0:0:0:0, 5+0:1:0:0:4, 1+0:0:0:0:1, 4+0:0:0:0:4, 1+0:0:0:0:1, 5+0:1:0:0:4, 2+0:0:0:0:2, 4+0:0:0:0:3, 4+0:0:0:0:3, 4+0:0:0:0:4, 2+0:0:0:0:2, 4+0:1:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4, 1+0:0:0:0:1, 4+0:0:0:0:3, 1+0:0:0:0:0, 5+0:0:0:0:3, 3+0:0:0:0:2, 5+0:0:0:0:5, 5+0:1:0:0:4, 4+0:0:0:0:3, 5+0:0:0:0:3, 10+2:0:0:2:4, 6+0:0:0:0:5, 109+2:7:0:2:87
C# major (7#), 4+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:2, 0+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:1, 0+0:0:0:0:0, 5+0:1:0:0:2, 3+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:2, 0+0:0:0:0:0, 5+0:0:0:0:2, 4+0:1:0:0:3, 5+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:2, 5+0:0:0:0:2, 10+2:6:0:2:6, 6+0:0:0:0:3, 108+2:9:0:2:39
Ab minor (7b), 3+0:0:0:0:2, 2+0:0:0:0:0, 4+0:1:0:0:3, 0+0:0:0:0:0, 3+0:1:0:0:3, 1+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 5+0:1:0:0:3, 1+0:0:0:0:0, 4+0:0:0:0:2, 1+0:0:0:0:0, 5+0:1:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:0, 4+0:1:0:0:3, 0+0:0:0:0:0, 3+0:1:0:0:3, 1+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:2, 4+0:1:0:0:3, 4+0:0:0:0:1, 4+0:0:0:0:1, 9+2:0:0:2:3, 5+0:0:0:0:2, 97+2:7:0:2:43
A# minor (7#), 4+0:0:0:0:3, 2+0:0:0:0:2, 4+0:0:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:3, 1+0:0:0:0:1, 4+0:0:0:0:4, 0+0:0:0:0:0, 5+0:1:0:0:3, 4+0:0:0:0:2, 4+0:0:0:0:4, 0+0:0:0:0:0, 5+0:1:0:0:4, 2+0:0:0:0:1, 4+0:0:0:0:4, 4+0:0:0:0:3, 4+0:0:0:0:3, 2+0:0:0:0:2, 4+0:0:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:3, 1+0:0:0:0:1, 4+0:0:0:0:4, 0+0:0:0:0:0, 5+0:0:0:0:4, 4+0:1:0:0:4, 5+0:0:0:0:4, 4+0:0:0:0:3, 4+0:0:0:0:4, 5+0:0:0:0:4, 10+2:6:0:2:8, 6+0:0:0:0:5, 109+2:9:0:2:89
