 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, rowcost
Bb minor (5b), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:1:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 1+0:0:0:0:0, 37+0:0:1:0:0
G# minor (5#), 5+0:3:0:0:5, 5+0:3:0:0:4, 4+0:3:0:0:4, 5+1:3:0:0:5, 5+0:3:0:0:4, 2+0:0:0:0:1, 4+0:3:0:0:4, 10+0:5:1:0:9, 5+0:2:0:0:5, 5+0:3:0:0:5, 6+0:3:0:0:6, 7+0:4:0:0:7, 5+0:2:0:0:5, 5+0:4:0:0:5, 5+0:3:0:0:4, 7+0:4:0:0:7, 5+0:3:0:0:5, 10+0:5:0:0:9, 5+0:3:0:0:5, 105+1:59:1:0:99
Gb major (6b), 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 5+0:0:0:0:3, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:2, 1+0:0:0:0:0, 5+0:0:0:0:3, 1+0:0:0:0:1, 36+0:0:0:0:20
F# major (6#), 5+0:3:0:0:4, 5+0:3:0:0:4, 4+0:3:0:0:3, 5+1:3:0:0:3, 5+0:3:0:0:4, 1+0:0:0:0:1, 4+0:3:0:0:3, 11+0:5:1:0:7, 5+0:2:0:0:4, 5+0:3:0:0:5, 6+0:3:0:0:5, 7+0:4:0:0:5, 5+0:2:0:0:4, 5+0:4:0:0:5, 4+0:3:0:0:3, 7+0:4:0:0:5, 5+0:3:0:0:5, 10+0:5:0:0:7, 5+0:3:0:0:4, 104+1:59:1:0:81
Eb minor (6b), 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:0, 2+0:0:0:0:0, 45+0:0:0:0:1
D# minor (6#), 5+0:3:0:0:5, 5+0:3:0:0:4, 4+0:3:0:0:4, 4+0:3:0:0:4, 5+0:3:0:0:4, 1+0:0:0:0:1, 4+0:3:0:0:4, 11+0:5:1:0:8, 5+0:2:0:0:5, 5+0:3:0:0:5, 6+0:3:0:0:6, 7+0:4:0:0:7, 5+0:2:0:0:5, 5+0:4:0:0:5, 4+0:3:0:0:4, 7+0:4:0:0:7, 5+0:3:0:0:5, 10+0:5:0:0:10, 5+0:3:0:0:5, 103+0:59:1:0:98
Cb major (7b), 2+0:0:0:0:2, 1+0:0:0:0:1, 1+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 6+0:0:0:0:4, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 6+0:0:0:0:4, 2+0:0:0:0:1, 46+0:0:0:0:32
C# major (7#), 5+0:3:0:0:4, 5+0:3:0:0:4, 4+0:3:0:0:4, 5+1:3:0:0:4, 5+0:3:0:0:4, 0+0:0:0:0:0, 4+0:3:0:0:4, 11+0:5:1:0:8, 5+0:2:0:0:4, 5+0:3:0:0:5, 6+0:3:0:0:5, 7+0:4:0:0:6, 5+0:2:0:0:4, 5+0:4:0:0:5, 4+0:3:0:0:4, 7+0:4:0:0:6, 5+0:3:0:0:5, 10+0:5:0:0:9, 5+0:3:0:0:5, 103+1:59:1:0:90
Ab minor (7b), 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:0, 41+0:0:0:0:2
A# minor (7#), 5+0:3:0:0:4, 5+0:3:0:0:4, 4+0:3:0:0:4, 5+1:3:0:0:5, 5+0:3:0:0:4, 0+0:0:0:0:0, 4+0:3:0:0:4, 11+0:5:1:0:10, 5+0:2:0:0:5, 5+0:3:0:0:5, 6+0:3:0:0:5, 7+0:4:0:0:7, 5+0:2:0:0:5, 5+0:4:0:0:5, 4+0:3:0:0:4, 7+0:4:0:0:7, 5+0:3:0:0:5, 10+0:5:0:0:10, 5+0:3:0:0:5, 103+1:59:1:0:98
