 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
Bb minor (5b), 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 5+0:2:0:0:3, 8+0:0:1:2:2, 5+0:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 74+0:5:2:2:15
G# minor (5#), 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:1:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:3, 5+0:0:0:0:3, 4+0:2:0:0:4, 5+0:1:0:0:4, 5+0:1:0:0:4, 6+0:3:0:0:6, 3+0:0:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 9+0:6:1:2:6, 9+0:4:1:0:8, 3+0:0:0:0:2, 3+0:1:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:3, 5+0:0:0:0:3, 4+0:2:0:0:4, 5+0:1:0:0:4, 5+0:1:0:0:4, 6+0:3:0:0:6, 4+0:1:0:0:3, 6+0:1:0:0:3, 4+0:0:0:0:3, 6+0:1:0:0:5, 5+0:0:0:0:4, 1+0:0:0:0:1, 138+0:29:2:2:104
Gb major (6b), 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 5+0:0:0:0:5, 4+0:1:0:0:4, 3+0:0:0:0:2, 6+0:0:0:0:5, 2+0:0:0:0:1, 3+0:0:0:0:2, 4+0:1:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:1, 4+0:0:0:0:3, 5+0:2:0:0:5, 10+0:0:0:2:4, 7+0:0:1:0:3, 3+0:0:0:0:2, 2+0:0:0:0:1, 5+0:0:0:0:5, 4+0:1:0:0:4, 3+0:0:0:0:2, 6+0:0:0:0:5, 2+0:0:0:0:1, 3+0:0:0:0:2, 4+0:1:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:2, 4+0:1:0:0:3, 5+0:0:0:0:5, 5+0:0:0:0:4, 4+0:0:0:0:3, 0+0:0:0:0:0, 121+0:7:1:2:88
F# major (6#), 2+0:0:0:0:1, 4+0:0:0:0:2, 3+0:1:0:0:2, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:2, 6+0:0:0:0:1, 4+0:2:0:0:3, 5+0:1:0:0:3, 5+0:1:0:0:3, 6+0:3:0:0:4, 4+0:0:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 10+0:6:1:2:5, 9+0:4:1:0:6, 4+0:0:0:0:2, 3+0:1:0:0:2, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:2, 6+0:0:0:0:1, 4+0:2:0:0:3, 5+0:1:0:0:3, 5+0:1:0:0:3, 6+0:3:0:0:4, 4+0:1:0:0:2, 5+0:1:0:0:2, 5+0:0:0:0:1, 7+0:1:0:0:3, 5+0:0:0:0:2, 0+0:0:0:0:0, 149+0:29:2:2:66
Eb minor (6b), 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:2, 4+0:1:0:0:2, 2+0:0:0:0:0, 5+0:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:2:0:0:4, 10+0:0:0:2:3, 6+0:0:1:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:2, 4+0:1:0:0:2, 2+0:0:0:0:0, 5+0:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 106+0:7:1:2:29
D# minor (6#), 2+0:0:0:0:2, 4+0:0:0:0:3, 3+0:1:0:0:3, 4+0:0:0:0:3, 5+0:0:0:0:2, 4+0:0:0:0:4, 6+0:0:0:0:4, 4+0:2:0:0:4, 5+0:1:0:0:5, 6+0:1:0:0:5, 6+0:3:0:0:5, 4+0:0:0:0:3, 1+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:2, 10+0:6:1:2:7, 9+0:4:1:0:9, 4+0:0:0:0:3, 3+0:1:0:0:3, 4+0:0:0:0:3, 5+0:0:0:0:2, 4+0:0:0:0:4, 6+0:0:0:0:4, 4+0:2:0:0:4, 5+0:1:0:0:5, 6+0:1:0:0:5, 6+0:3:0:0:5, 4+0:1:0:0:4, 5+0:1:0:0:4, 5+0:0:0:0:4, 7+0:1:0:0:6, 5+0:0:0:0:5, 0+0:0:0:0:0, 153+0:29:2:2:126
Cb major (7b), 2+0:0:0:0:2, 4+0:0:0:0:3, 2+0:0:0:0:2, 5+0:0:0:0:5, 5+0:1:0:0:4, 4+0:0:0:0:3, 7+0:0:0:0:4, 2+0:0:0:0:2, 4+0:0:0:0:3, 5+0:1:0:0:4, 3+0:0:0:0:2, 4+0:0:0:0:3, 1+0:0:0:0:1, 5+0:0:0:0:3, 6+0:2:0:0:5, 10+0:0:0:2:5, 8+0:0:0:0:4, 4+0:0:0:0:3, 2+0:0:0:0:2, 5+0:0:0:0:5, 5+0:1:0:0:4, 4+0:0:0:0:3, 7+0:0:0:0:4, 2+0:0:0:0:2, 4+0:0:0:0:3, 5+0:1:0:0:4, 3+0:0:0:0:2, 3+0:0:0:0:3, 4+0:1:0:0:4, 6+0:0:0:0:5, 6+0:0:0:0:5, 5+0:0:0:0:4, 1+0:0:0:0:0, 143+0:7:0:2:108
C# major (7#), 1+0:0:0:0:0, 4+0:0:0:0:2, 2+0:1:0:0:1, 5+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:2, 7+0:0:0:0:2, 4+0:2:0:0:4, 5+0:1:0:0:3, 5+0:1:0:0:2, 6+0:3:0:0:5, 4+0:0:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:1, 10+0:6:1:2:6, 9+0:4:1:0:7, 4+0:0:0:0:2, 2+0:1:0:0:1, 5+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:2, 7+0:0:0:0:2, 4+0:2:0:0:4, 5+0:1:0:0:3, 5+0:1:0:0:2, 6+0:3:0:0:5, 4+0:1:0:0:3, 5+0:1:0:0:2, 6+0:0:0:0:2, 7+0:1:0:0:4, 5+0:0:0:0:3, 0+0:0:0:0:0, 153+0:29:2:2:77
Ab minor (7b), 2+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:3, 4+0:1:0:0:3, 4+0:0:0:0:1, 6+0:0:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:1, 5+0:1:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:2, 1+0:0:0:0:1, 5+0:0:0:0:2, 6+0:2:0:0:4, 9+0:0:0:2:4, 7+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:3, 4+0:1:0:0:3, 4+0:0:0:0:1, 6+0:0:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:1, 5+0:1:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:1, 4+0:1:0:0:2, 5+0:0:0:0:3, 5+0:0:0:0:2, 4+0:0:0:0:1, 1+0:0:0:0:0, 127+0:7:0:2:54
A# minor (7#), 0+0:0:0:0:0, 4+0:0:0:0:4, 0+0:0:0:0:0, 5+0:0:0:0:4, 4+0:0:0:0:3, 4+0:0:0:0:4, 7+0:0:0:0:5, 4+0:2:0:0:4, 5+0:1:0:0:5, 5+0:1:0:0:4, 6+0:3:0:0:5, 4+0:0:0:0:4, 0+0:0:0:0:0, 5+0:0:0:0:3, 6+0:0:0:0:3, 10+0:6:1:2:8, 9+0:4:1:0:9, 4+0:0:0:0:4, 0+0:0:0:0:0, 5+0:0:0:0:4, 4+0:0:0:0:3, 4+0:0:0:0:4, 7+0:0:0:0:5, 4+0:2:0:0:4, 5+0:1:0:0:5, 5+0:1:0:0:4, 6+0:3:0:0:5, 4+0:1:0:0:4, 5+0:1:0:0:4, 6+0:0:0:0:5, 7+0:1:0:0:7, 5+0:0:0:0:5, 0+0:0:0:0:0, 149+0:27:2:2:128
