 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, rowcost
E minor blues (1#), 6+1:4:1:0:2, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:0, 6+1:4:1:0:2, 3+0:0:0:0:0, 3+0:1:0:0:0, 4+0:0:1:0:2, 6+0:2:0:0:1, 5+0:1:0:0:0, 6+0:1:0:0:1, 3+0:1:0:0:0, 6+1:4:1:0:2, 2+0:0:0:0:0, 4+0:1:0:0:0, 3+0:1:0:0:0, 6+1:4:1:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 6+1:4:1:0:2, 4+0:0:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 6+1:4:1:0:2, 4+0:0:0:0:0, 8+0:3:0:0:1, 6+0:2:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 123+6:41:7:0:18
F dorian (1b), 4+1:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 4+1:0:1:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 68+6:0:7:0:9
G dorian (1#), 5+1:4:1:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 5+1:4:1:0:2, 2+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:1:0:2, 6+0:3:0:0:1, 5+0:2:0:0:0, 6+0:2:0:0:1, 2+0:1:0:0:0, 5+1:4:1:0:2, 1+0:0:0:0:0, 4+0:2:0:0:0, 2+0:1:0:0:0, 5+1:4:1:0:2, 3+0:1:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:0, 5+1:4:1:0:2, 3+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 5+1:4:1:0:2, 3+0:1:0:0:0, 8+0:4:0:0:1, 6+0:3:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 103+6:50:7:0:18
F phrygian (1b), 4+1:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+1:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:2, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+1:0:1:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 4+1:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+1:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 68+6:0:7:0:9
G phrygian (1#), 4+1:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 4+1:0:1:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 68+6:0:7:0:9
F lydian (1b), 4+1:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 4+1:0:1:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 68+6:0:7:0:9
G lydian (1#), 5+1:4:1:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 5+1:4:1:0:2, 2+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:1:0:2, 6+0:3:0:0:1, 5+0:2:0:0:0, 6+0:2:0:0:1, 2+0:1:0:0:0, 5+1:4:1:0:2, 1+0:0:0:0:0, 4+0:2:0:0:0, 2+0:1:0:0:0, 5+1:4:1:0:2, 3+0:1:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:0, 5+1:4:1:0:2, 3+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 5+1:4:1:0:2, 3+0:1:0:0:0, 8+0:4:0:0:1, 6+0:3:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 103+6:50:7:0:18
F mixolydian (1b), 4+1:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+1:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:2, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+1:0:1:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 4+1:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+1:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 68+6:0:7:0:9
G mixolydian (1#), 4+1:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 4+1:0:1:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 68+6:0:7:0:9
F aeolian (1b), 5+1:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 5+1:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 5+1:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+1:0:1:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 5+1:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+1:0:1:0:1, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 75+6:0:7:0:9
