 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, rowcost
E minor blues (1#), 1+0:0:0:0:0, 7+0:7:2:2:4, 5+0:1:0:0:0, 4+0:1:0:0:0, 7+2:4:1:1:3, 7+0:6:1:2:3, 9+0:2:0:0:1, 4+0:0:0:0:1, 8+0:2:0:0:1, 4+0:0:0:0:1, 4+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 7+0:2:0:0:0, 1+0:0:0:0:0, 7+0:7:2:2:4, 5+0:1:0:0:0, 4+0:1:0:0:0, 7+2:4:1:1:3, 7+0:6:1:2:3, 8+0:2:0:0:1, 1+0:0:0:0:0, 132+4:49:8:10:29
F dorian (1b), 0+0:0:0:0:0, 7+0:0:2:2:4, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 7+0:0:0:0:0, 3+0:0:0:0:1, 6+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:0, 0+0:0:0:0:0, 7+0:0:2:2:4, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 6+0:0:0:0:0, 0+0:0:0:0:0, 91+4:0:8:10:28
G dorian (1#), 1+0:0:0:0:0, 7+0:7:2:2:4, 3+0:1:0:0:0, 3+0:1:0:0:0, 6+2:5:1:1:3, 7+0:6:1:2:3, 9+0:3:0:0:1, 2+0:0:0:0:1, 8+0:3:0:0:1, 2+0:0:0:0:1, 3+0:1:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 5+0:3:0:0:0, 1+0:0:0:0:0, 7+0:7:2:2:4, 3+0:1:0:0:0, 3+0:1:0:0:0, 6+2:5:1:1:3, 7+0:6:1:2:3, 8+0:3:0:0:1, 0+0:0:0:0:0, 103+4:55:8:10:29
F phrygian (1b), 1+0:0:0:0:0, 7+0:0:2:2:4, 5+0:0:0:0:0, 3+0:0:0:0:0, 7+2:0:1:1:2, 7+0:0:1:2:3, 7+0:0:0:0:0, 5+0:0:0:0:1, 6+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:2:2:4, 5+0:0:0:0:0, 3+0:0:0:0:0, 7+2:0:1:1:2, 7+0:0:1:2:3, 6+0:0:0:0:0, 2+0:0:0:0:0, 124+4:0:8:10:28
G phrygian (1#), 0+0:0:0:0:0, 7+0:0:2:2:4, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 7+0:0:0:0:0, 3+0:0:0:0:1, 6+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:0, 0+0:0:0:0:0, 7+0:0:2:2:4, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 6+0:0:0:0:0, 0+0:0:0:0:0, 91+4:0:8:10:28
F lydian (1b), 0+0:0:0:0:0, 7+0:0:2:2:4, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 7+0:0:0:0:0, 3+0:0:0:0:1, 6+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:0, 0+0:0:0:0:0, 7+0:0:2:2:4, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 6+0:0:0:0:0, 0+0:0:0:0:0, 91+4:0:8:10:28
G lydian (1#), 1+0:0:0:0:0, 7+0:7:2:2:4, 3+0:1:0:0:0, 3+0:1:0:0:0, 6+2:5:1:1:3, 7+0:6:1:2:3, 9+0:3:0:0:1, 2+0:0:0:0:1, 8+0:3:0:0:1, 2+0:0:0:0:1, 3+0:1:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 5+0:3:0:0:0, 1+0:0:0:0:0, 7+0:7:2:2:4, 3+0:1:0:0:0, 3+0:1:0:0:0, 6+2:5:1:1:3, 7+0:6:1:2:3, 8+0:3:0:0:1, 0+0:0:0:0:0, 103+4:55:8:10:29
F mixolydian (1b), 1+0:0:0:0:0, 7+0:0:2:2:4, 5+0:0:0:0:0, 3+0:0:0:0:0, 7+2:0:1:1:2, 7+0:0:1:2:3, 7+0:0:0:0:0, 5+0:0:0:0:1, 6+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:2:2:4, 5+0:0:0:0:0, 3+0:0:0:0:0, 7+2:0:1:1:2, 7+0:0:1:2:3, 6+0:0:0:0:0, 2+0:0:0:0:0, 124+4:0:8:10:28
G mixolydian (1#), 0+0:0:0:0:0, 7+0:0:2:2:4, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 7+0:0:0:0:0, 3+0:0:0:0:1, 6+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:0, 0+0:0:0:0:0, 7+0:0:2:2:4, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+2:0:1:1:2, 6+0:0:1:2:3, 6+0:0:0:0:0, 0+0:0:0:0:0, 91+4:0:8:10:28
F aeolian (1b), 0+0:0:0:0:0, 7+0:0:2:2:4, 4+0:0:0:0:0, 2+0:0:0:0:0, 7+2:0:1:1:2, 6+0:0:1:2:3, 6+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 6+0:0:0:0:0, 0+0:0:0:0:0, 7+0:0:2:2:4, 4+0:0:0:0:0, 2+0:0:0:0:0, 7+2:0:1:1:2, 6+0:0:1:2:3, 5+0:0:0:0:0, 1+0:0:0:0:0, 105+4:0:8:10:28
