 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, rowcost
Bb minor (5b), 2+0:0:0:0:0, 4+0:3:1:0:3, 5+0:4:1:0:4, 1+0:0:0:0:0, 3+0:2:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:1:0:0:2, 3+0:0:1:0:0, 4+0:0:1:0:0, 2+0:0:0:0:0, 2+0:0:1:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 10+0:6:1:0:7, 1+0:1:0:0:1, 6+0:0:2:0:1, 11+1:6:1:0:7, 1+0:0:0:0:0, 9+1:1:2:0:2, 1+0:0:0:0:0, 4+0:0:0:0:1, 87+2:24:12:0:30
G# minor (5#), 4+0:2:0:0:4, 4+0:0:1:0:1, 2+0:0:1:0:0, 3+0:0:0:0:2, 6+0:2:1:0:4, 6+0:1:0:0:4, 6+0:4:0:0:6, 5+0:3:0:0:5, 6+0:3:0:0:6, 6+0:3:0:0:5, 5+0:0:0:0:4, 4+0:0:0:0:2, 7+0:4:1:0:4, 5+0:4:1:0:4, 6+0:2:0:0:5, 7+0:5:1:0:6, 4+0:3:0:0:4, 6+0:3:0:0:6, 5+0:0:1:0:0, 2+0:0:0:0:0, 9+0:4:2:0:8, 7+0:0:1:0:2, 2+0:0:0:0:1, 12+1:7:2:0:10, 6+0:5:0:0:6, 5+0:0:0:0:4, 140+1:55:12:0:103
Gb major (6b), 2+0:0:0:0:2, 5+0:3:1:0:5, 5+0:4:1:0:4, 3+0:0:0:0:2, 4+0:2:1:0:4, 3+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:1, 5+0:0:0:0:4, 7+0:1:0:0:6, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 10+0:6:1:0:10, 1+0:0:0:0:1, 8+0:0:1:0:3, 11+1:6:1:0:11, 0+0:0:0:0:0, 7+1:1:1:0:4, 0+0:0:0:0:0, 6+0:0:0:0:5, 89+2:23:7:0:69
F# major (6#), 4+0:2:0:0:2, 3+0:0:1:0:0, 0+0:0:0:0:0, 4+0:0:0:0:2, 6+0:2:1:0:2, 6+0:1:0:0:3, 6+0:4:0:0:6, 5+0:3:0:0:5, 6+0:3:0:0:5, 6+0:3:0:0:4, 6+0:0:0:0:2, 4+0:0:0:0:0, 7+0:4:1:0:4, 6+1:4:1:0:4, 6+0:2:0:0:4, 7+0:5:1:0:6, 4+0:3:0:0:4, 6+0:3:0:0:5, 3+0:0:0:1:1, 1+0:0:0:0:0, 9+0:4:2:0:6, 7+0:0:0:0:0, 0+0:0:0:0:0, 12+1:7:2:0:7, 6+0:5:0:0:6, 6+0:0:0:0:2, 136+2:55:9:1:80
Eb minor (6b), 1+0:0:0:0:0, 4+0:3:1:0:3, 5+0:4:1:0:4, 3+0:0:0:0:1, 4+0:2:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 6+0:1:0:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 10+0:6:1:0:8, 2+0:0:0:0:0, 7+0:0:1:0:0, 10+1:6:1:0:8, 1+0:0:0:0:0, 6+1:1:1:0:1, 1+0:0:0:0:0, 5+0:0:0:0:2, 89+2:23:7:0:33
D# minor (6#), 4+0:2:0:0:4, 4+0:0:1:0:2, 1+0:0:0:0:0, 4+0:0:0:0:3, 7+0:2:1:0:4, 6+0:1:0:0:5, 6+0:4:0:0:6, 5+0:3:0:0:5, 6+0:3:0:0:6, 6+0:3:0:0:5, 6+0:0:0:0:5, 5+0:0:0:0:3, 7+0:4:1:0:5, 6+1:4:1:0:5, 6+0:2:0:0:5, 7+0:5:1:0:6, 4+0:3:0:0:4, 6+0:3:0:0:6, 4+0:0:0:1:0, 2+0:0:0:0:1, 9+0:4:2:0:9, 6+0:0:0:0:2, 1+0:0:0:0:0, 12+1:7:2:0:10, 6+0:5:0:0:6, 6+0:0:0:0:5, 142+2:55:9:1:112
Cb major (7b), 2+0:0:0:0:2, 5+0:3:1:0:5, 5+0:4:1:0:4, 4+0:0:0:0:3, 5+0:2:1:0:4, 4+0:0:0:0:3, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 6+0:0:0:0:4, 7+0:1:0:0:5, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 10+0:6:1:0:10, 1+0:0:0:0:1, 9+0:0:0:0:4, 11+1:6:1:0:11, 1+0:0:0:0:0, 6+1:1:0:0:4, 1+0:0:0:0:0, 7+0:0:0:0:6, 104+2:23:5:0:77
C# major (7#), 4+0:2:0:0:3, 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:2, 6+0:2:0:0:3, 6+0:1:0:0:2, 6+0:4:0:0:5, 5+0:3:0:0:4, 6+0:3:0:0:5, 6+0:3:0:0:5, 6+0:0:0:0:3, 5+0:0:0:0:1, 7+0:4:1:0:4, 6+1:4:1:0:5, 6+0:2:0:0:5, 7+0:5:1:0:6, 4+0:3:0:0:4, 6+0:3:0:0:5, 4+0:0:0:1:0, 1+0:0:0:0:0, 9+0:4:2:0:7, 8+0:0:0:0:1, 0+0:0:0:0:0, 12+1:7:2:0:8, 6+0:5:0:0:6, 7+0:0:0:0:3, 139+2:55:7:1:87
Ab minor (7b), 1+0:0:0:0:0, 5+0:3:1:0:4, 5+0:4:1:0:4, 4+0:0:0:0:2, 4+0:2:1:0:3, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:1, 6+0:1:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 9+0:6:1:0:8, 2+0:0:0:0:1, 8+0:0:0:0:1, 10+1:6:1:0:9, 2+0:0:0:0:0, 7+1:1:0:0:2, 2+0:0:0:0:0, 6+0:0:0:0:3, 101+2:23:5:0:43
A# minor (7#), 4+0:2:0:0:4, 2+0:0:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:4, 6+0:2:0:0:4, 6+0:1:0:0:4, 6+0:4:0:0:5, 5+0:3:0:0:4, 6+0:3:0:0:5, 6+0:3:0:0:5, 6+0:0:0:0:6, 5+0:0:0:0:4, 7+0:4:1:0:5, 6+1:4:1:0:5, 6+0:2:0:0:5, 7+0:5:1:0:6, 4+0:3:0:0:4, 6+0:3:0:0:6, 5+0:0:0:0:3, 1+0:1:0:0:1, 9+0:4:2:0:9, 8+0:0:0:0:4, 1+0:0:0:0:0, 12+1:7:2:0:10, 6+0:5:0:0:6, 7+0:0:0:0:6, 142+2:56:7:0:117
