 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
Bb minor (5b), 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:1, 3+0:2:0:0:2, 2+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 64+0:7:0:0:10
G# minor (5#), 1+0:0:0:0:1, 5+0:1:0:0:5, 6+0:2:0:0:5, 8+0:3:0:0:7, 6+0:0:0:0:4, 4+0:2:0:0:4, 7+0:2:0:0:5, 4+0:1:0:0:3, 6+0:2:0:0:5, 5+0:1:0:0:5, 6+0:2:0:0:5, 8+0:3:0:0:7, 5+0:0:0:0:4, 4+0:2:0:0:4, 7+0:2:0:0:5, 4+0:1:0:0:3, 7+0:3:0:0:6, 4+0:2:0:0:4, 7+0:2:0:0:6, 5+0:1:0:0:4, 7+0:2:0:0:5, 4+0:1:0:0:4, 6+0:1:0:0:4, 3+0:0:0:0:1, 7+0:2:0:0:5, 5+0:1:0:0:5, 6+0:2:0:0:5, 8+0:3:0:0:7, 5+0:0:0:0:4, 4+0:2:0:0:4, 6+0:2:0:0:5, 5+0:1:0:0:5, 6+0:2:0:0:5, 181+0:51:0:0:151
Gb major (6b), 0+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:3, 6+0:1:0:0:5, 2+0:0:0:0:1, 4+0:0:0:0:3, 2+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:3, 5+0:0:0:0:4, 2+0:0:0:0:1, 4+0:0:0:0:3, 2+0:0:0:0:2, 3+0:1:0:0:2, 2+0:0:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:2, 5+0:1:0:0:4, 2+0:0:0:0:2, 6+0:1:0:0:5, 4+0:2:0:0:4, 4+0:1:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:3, 5+0:0:0:0:4, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 112+0:7:0:0:82
F# major (6#), 0+0:0:0:0:0, 5+0:1:0:0:3, 6+0:2:0:0:4, 8+0:3:0:0:5, 6+0:0:0:0:2, 4+0:2:0:0:3, 7+0:2:0:0:4, 4+0:1:0:0:2, 6+0:2:0:0:4, 5+0:1:0:0:3, 6+0:2:0:0:4, 8+0:3:0:0:5, 5+0:0:0:0:2, 4+0:2:0:0:3, 7+0:2:0:0:4, 4+0:1:0:0:2, 7+0:3:0:0:5, 4+0:2:0:0:2, 7+0:2:0:0:4, 5+0:1:0:0:3, 6+0:2:0:0:3, 4+0:1:0:0:2, 7+0:1:0:0:2, 2+0:0:0:0:0, 7+0:2:0:0:4, 5+0:1:0:0:3, 6+0:2:0:0:4, 8+0:3:0:0:5, 5+0:0:0:0:2, 4+0:2:0:0:3, 6+0:2:0:0:4, 5+0:1:0:0:3, 6+0:2:0:0:4, 179+0:51:0:0:103
Eb minor (6b), 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 5+0:1:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 5+0:1:0:0:2, 3+0:2:0:0:2, 4+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 92+0:7:0:0:13
D# minor (6#), 0+0:0:0:0:0, 5+0:1:0:0:5, 6+0:2:0:0:6, 8+0:3:0:0:8, 6+0:0:0:0:5, 4+0:2:0:0:4, 7+0:2:0:0:6, 4+0:1:0:0:4, 6+0:2:0:0:6, 5+0:1:0:0:5, 6+0:2:0:0:6, 8+0:3:0:0:8, 5+0:0:0:0:5, 4+0:2:0:0:4, 7+0:2:0:0:6, 4+0:1:0:0:4, 7+0:3:0:0:6, 4+0:2:0:0:4, 7+0:2:0:0:7, 5+0:1:0:0:5, 6+0:2:0:0:6, 4+0:1:0:0:4, 7+0:1:0:0:5, 3+0:0:0:0:2, 7+0:2:0:0:6, 5+0:1:0:0:5, 6+0:2:0:0:6, 8+0:3:0:0:8, 5+0:0:0:0:5, 4+0:2:0:0:4, 6+0:2:0:0:6, 5+0:1:0:0:5, 6+0:2:0:0:6, 180+0:51:0:0:172
Cb major (7b), 1+0:0:0:0:0, 4+0:0:0:0:3, 4+0:0:0:0:3, 6+0:0:0:0:4, 7+0:1:0:0:6, 2+0:0:0:0:2, 5+0:0:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:3, 4+0:0:0:0:3, 4+0:0:0:0:3, 6+0:0:0:0:4, 6+0:0:0:0:5, 2+0:0:0:0:2, 5+0:0:0:0:3, 3+0:0:0:0:2, 4+0:1:0:0:3, 2+0:0:0:0:2, 5+0:0:0:0:4, 4+0:0:0:0:3, 5+0:1:0:0:5, 3+0:0:0:0:2, 6+0:1:0:0:6, 4+0:2:0:0:4, 5+0:1:0:0:4, 4+0:0:0:0:3, 4+0:0:0:0:3, 6+0:0:0:0:4, 6+0:0:0:0:5, 2+0:0:0:0:2, 4+0:0:0:0:3, 4+0:0:0:0:3, 4+0:0:0:0:3, 138+0:7:0:0:107
C# major (7#), 0+0:0:0:0:0, 5+0:1:0:0:4, 6+0:2:0:0:5, 8+0:3:0:0:5, 7+0:0:0:0:3, 4+0:2:0:0:4, 7+0:2:0:0:5, 4+0:1:0:0:2, 6+0:2:0:0:5, 5+0:1:0:0:4, 6+0:2:0:0:5, 8+0:3:0:0:5, 6+0:0:0:0:3, 4+0:2:0:0:4, 7+0:2:0:0:5, 4+0:1:0:0:2, 7+0:3:0:0:5, 4+0:2:0:0:3, 7+0:2:0:0:5, 5+0:1:0:0:2, 6+0:2:0:0:4, 4+0:1:0:0:3, 6+1:1:0:0:2, 2+0:0:0:0:0, 7+0:2:0:0:5, 5+0:1:0:0:4, 6+0:2:0:0:5, 8+0:3:0:0:5, 6+0:0:0:0:3, 4+0:2:0:0:4, 6+0:2:0:0:5, 5+0:1:0:0:4, 6+0:2:0:0:5, 181+1:51:0:0:125
Ab minor (7b), 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:1, 6+0:1:0:0:3, 1+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:1, 5+0:0:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:1:0:0:2, 2+0:0:0:0:0, 5+0:1:0:0:3, 4+0:2:0:0:3, 4+0:1:0:0:2, 3+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:1, 5+0:0:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 111+0:7:0:0:33
A# minor (7#), 0+0:0:0:0:0, 5+0:1:0:0:5, 6+0:2:0:0:6, 8+0:3:0:0:7, 7+0:0:0:0:5, 4+0:2:0:0:4, 7+0:2:0:0:7, 4+0:1:0:0:4, 6+0:2:0:0:6, 5+0:1:0:0:5, 6+0:2:0:0:6, 8+0:3:0:0:7, 6+0:0:0:0:5, 4+0:2:0:0:4, 7+0:2:0:0:7, 4+0:1:0:0:4, 7+0:3:0:0:6, 4+0:2:0:0:4, 7+0:2:0:0:7, 5+0:1:0:0:4, 6+0:2:0:0:6, 4+0:1:0:0:4, 6+1:1:0:0:5, 2+0:0:0:0:2, 7+0:2:0:0:6, 5+0:1:0:0:5, 6+0:2:0:0:6, 8+0:3:0:0:7, 6+0:0:0:0:5, 4+0:2:0:0:4, 6+0:2:0:0:6, 5+0:1:0:0:5, 6+0:2:0:0:6, 181+1:51:0:0:170
