 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
Bb minor (5b), 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:1:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+2:0:0:0:0, 1+0+1:0:0:0:0, 1+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 47+0+15:0:1:0:0
G# minor (5#), 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 4+0+1:0:0:0:0, 6+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 5+0+1:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 6+0+1:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 4+0+1:0:0:0:0, 6+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+3:0:0:0:0, 0+0+0:0:0:0:0, 90+0+21:0:0:0:0
Gb major (6b), 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 0+0+2:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 2+0+2:0:0:0:1, 2+0+1:0:0:0:1, 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 66+0+19:0:0:0:2
F# major (6#), 4+0+0:0:0:0:0, 4+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+1:0:0:0:0, 6+0+2:0:0:0:0, 2+0+0:0:0:0:0, 4+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 5+0+1:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 6+0+1:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 3+0+1:0:0:0:0, 4+0+0:0:0:0:0, 4+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+1:0:0:0:0, 6+0+2:0:0:0:0, 2+0+0:0:0:0:0, 4+0+0:0:0:0:0, 0+0+0:0:0:0:0, 92+0+14:0:0:0:0
Eb minor (6b), 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 2+0+3:0:0:0:1, 2+0+2:0:0:0:1, 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 65+0+23:0:0:0:2
D# minor (6#), 4+0+0:0:0:0:0, 4+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+1:0:0:0:0, 6+0+2:0:0:0:0, 2+0+0:0:0:0:0, 4+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 5+0+1:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 6+0+1:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 3+0+1:0:0:0:0, 4+0+0:0:0:0:0, 4+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+1:0:0:0:0, 6+0+2:0:0:0:0, 2+0+0:0:0:0:0, 4+0+0:0:0:0:0, 0+0+0:0:0:0:0, 92+0+14:0:0:0:0
Cb major (7b), 4+0+0:0:0:0:0, 4+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+1:0:0:0:0, 5+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:0, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+2:0:0:0:1, 3+0+1:0:0:0:1, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+0:0:0:0:0, 4+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+1:0:0:0:0, 5+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:0, 1+0+0:0:0:0:0, 83+0+14:0:0:0:2
C# major (7#), 4+0+0:0:0:0:0, 4+0+0:0:0:0:0, 5+0+0:0:0:0:0, 5+0+1:0:0:0:0, 6+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 5+0+1:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 4+0+2:0:0:0:0, 5+0+2:0:0:0:0, 5+0+1:0:0:0:0, 3+0+2:0:0:0:0, 3+0+0:0:0:0:0, 4+0+0:0:0:0:0, 4+0+0:0:0:0:0, 5+0+0:0:0:0:0, 5+0+1:0:0:0:0, 6+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+0:0:0:0:0, 1+0+0:0:0:0:0, 98+0+12:0:0:0:0
Ab minor (7b), 4+0+1:0:0:0:0, 4+0+1:0:0:0:0, 5+0+0:0:0:0:0, 4+0+1:0:0:0:0, 5+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+2:0:0:0:0, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+2:0:0:0:1, 3+0+1:0:0:0:1, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+0:0:0:0:0, 4+0+1:0:0:0:0, 5+0+0:0:0:0:0, 4+0+1:0:0:0:0, 5+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+2:0:0:0:0, 0+0+1:0:0:0:0, 82+0+20:0:0:0:2
A# minor (7#), 4+0+0:0:0:0:0, 4+0+0:0:0:0:0, 5+0+0:0:0:0:0, 5+0+1:0:0:0:0, 6+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 5+0+1:0:0:0:0, 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 4+0+2:0:0:0:0, 5+0+2:0:0:0:0, 5+0+1:0:0:0:0, 3+0+2:0:0:0:0, 3+0+0:0:0:0:0, 4+0+0:0:0:0:0, 4+0+0:0:0:0:0, 5+0+0:0:0:0:0, 5+0+1:0:0:0:0, 6+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+0:0:0:0:0, 1+0+0:0:0:0:0, 98+0+12:0:0:0:0
