 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, rowcost
Bb minor (5b), 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:2:0:1, 3+0:0:1:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 7+0:1:1:1:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:1:0:0, 3+0:0:1:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:2:0:1, 3+0:0:1:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 7+0:1:1:1:2, 1+0:0:0:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:1:1:1, 2+0:0:0:0:0, 67+0:2:12:3:7
G# minor (5#), 4+0:2:0:0:4, 7+0:5:0:0:7, 7+0:7:2:0:7, 5+0:4:1:0:4, 7+0:3:0:0:6, 4+0:2:0:0:4, 10+0:7:1:1:8, 4+0:3:0:0:4, 5+0:3:0:0:5, 4+0:3:0:0:4, 5+0:3:0:0:4, 5+0:3:0:0:4, 5+0:3:0:0:5, 5+0:2:0:0:4, 5+0:4:1:0:4, 5+0:3:1:0:4, 5+0:4:0:0:5, 7+0:4:0:0:7, 7+0:5:0:0:7, 7+0:7:2:0:7, 5+0:4:1:0:4, 7+0:3:0:0:6, 4+0:2:0:0:4, 10+0:7:1:1:8, 4+0:3:0:0:4, 7+0:6:1:0:7, 5+0:4:0:0:5, 7+0:5:0:0:7, 10+0:7:1:1:9, 4+0:2:0:0:4, 176+0:120:12:3:162
Gb major (6b), 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:1:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 5+0:1:0:1:2, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:1:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 5+0:1:0:1:2, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:1:1, 2+0:0:0:0:2, 46+0:2:2:3:23
F# major (6#), 2+0:0:0:1:1, 7+0:5:0:0:7, 7+0:7:2:0:7, 6+0:4:1:0:4, 7+0:3:0:0:5, 4+0:2:0:0:3, 10+0:7:1:1:7, 4+0:3:0:0:3, 5+0:3:0:0:4, 4+0:3:0:0:3, 5+0:3:0:0:4, 4+0:3:0:0:3, 5+0:3:0:0:4, 5+0:2:0:0:3, 5+0:4:1:0:4, 6+0:3:1:0:4, 5+0:4:0:0:5, 7+0:4:0:0:6, 7+0:5:0:0:7, 7+0:7:2:0:7, 6+0:4:1:0:4, 7+0:3:0:0:5, 4+0:2:0:0:3, 10+0:7:1:1:7, 4+0:3:0:0:3, 7+0:6:1:0:7, 5+0:4:0:0:5, 7+0:5:0:0:7, 10+0:7:1:1:8, 4+0:2:0:0:2, 176+0:118:12:4:142
Eb minor (6b), 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:1:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:1:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:1:1, 1+0:0:0:0:0, 47+0:2:2:3:6
D# minor (6#), 0+0:0:0:0:0, 7+0:5:0:0:7, 7+0:7:2:0:7, 6+0:4:1:0:5, 7+0:3:0:0:6, 4+0:2:0:0:4, 10+0:7:1:1:8, 4+0:3:0:0:4, 5+0:3:0:0:5, 4+0:3:0:0:4, 5+0:3:0:0:4, 4+0:3:0:0:4, 5+0:3:0:0:5, 5+0:2:0:0:4, 5+0:4:1:0:4, 6+0:3:1:0:4, 5+0:4:0:0:5, 7+0:4:0:0:7, 7+0:5:0:0:7, 7+0:7:2:0:7, 6+0:4:1:0:5, 7+0:3:0:0:6, 4+0:2:0:0:4, 10+0:7:1:1:8, 4+0:3:0:0:4, 7+0:6:1:0:7, 5+0:4:0:0:5, 7+0:5:0:0:7, 10+0:7:1:1:9, 4+0:2:0:0:4, 174+0:118:12:3:160
Cb major (7b), 2+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:2, 6+0:1:0:1:2, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:2, 2+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:2, 6+0:1:0:1:2, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 6+0:0:0:1:2, 2+0:0:0:0:2, 60+0:2:0:3:33
C# major (7#), 2+0:0:0:1:1, 7+0:5:0:0:7, 7+0:7:2:0:7, 6+0:4:1:0:5, 7+0:3:0:0:5, 4+0:2:0:0:4, 10+0:7:1:1:7, 4+0:3:0:0:3, 5+0:3:0:0:4, 4+0:3:0:0:3, 5+0:3:0:0:4, 4+0:3:0:0:4, 5+0:3:0:0:5, 5+0:2:0:0:4, 5+0:4:1:0:4, 6+0:3:1:0:4, 5+0:4:0:0:5, 7+0:4:0:0:6, 7+0:5:0:0:7, 7+0:7:2:0:7, 6+0:4:1:0:5, 7+0:3:0:0:5, 4+0:2:0:0:4, 10+0:7:1:1:7, 4+0:3:0:0:3, 7+0:6:1:0:7, 5+0:4:0:0:5, 7+0:5:0:0:7, 10+0:7:1:1:7, 4+0:2:0:0:3, 176+0:118:12:4:149
Ab minor (7b), 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 7+0:1:0:1:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 7+0:1:0:1:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:0:1:0, 1+0:0:0:0:0, 76+0:2:0:3:2
A# minor (7#), 2+0:0:0:1:0, 7+0:5:0:0:7, 7+0:7:2:0:7, 6+0:4:1:0:5, 7+0:3:0:0:6, 4+0:2:0:0:4, 10+0:7:1:1:8, 4+0:3:0:0:4, 5+0:3:0:0:5, 4+0:3:0:0:4, 5+0:3:0:0:4, 4+0:3:0:0:4, 5+0:3:0:0:5, 5+0:2:0:0:4, 5+0:4:1:0:4, 6+0:3:1:0:5, 5+0:4:0:0:5, 7+0:4:0:0:7, 7+0:5:0:0:7, 7+0:7:2:0:7, 6+0:4:1:0:5, 7+0:3:0:0:6, 4+0:2:0:0:4, 10+0:7:1:1:8, 4+0:3:0:0:4, 7+0:6:1:0:7, 5+0:4:0:0:5, 7+0:5:0:0:7, 10+0:7:1:1:8, 4+0:2:0:0:4, 176+0:118:12:4:160
