 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
Bb minor (5b), 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0,  , 0+0:0:0:0:0,  , 2+0:0:0:0:0,  , 1+0:0:0:0:0,  , 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 43+0:0:0:0:0
G# minor (5#), 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:6, 7+0:4:0:0:7, 8+0:5:0:0:7, 10+0:5:0:0:9, 5+0:3:1:0:4, 3+0:1:0:0:3,  , 4+0:1:0:0:3,  , 4+0:2:0:0:4,  , 4+0:3:0:0:4,  , 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:6, 7+0:4:0:0:7, 8+0:5:0:0:7, 3+0:2:1:0:2, 123+0:69:2:0:117
Gb major (6b), 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:2, 6+0:0:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:2,  , 2+0:0:0:0:1,  , 1+0:0:0:0:1,  , 1+0:0:0:0:1,  , 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:2, 1+0:0:0:0:1, 40+0:0:0:0:26
F# major (6#), 6+0:3:0:0:5, 6+0:4:0:0:5, 6+0:3:0:0:5, 6+0:4:0:0:5, 6+0:3:0:0:4, 7+0:4:0:0:6, 7+0:4:0:0:4, 10+0:5:0:0:7, 6+0:3:0:0:4, 4+0:1:0:0:2,  , 4+0:1:0:0:3,  , 4+0:2:0:0:3,  , 4+0:3:0:0:3,  , 6+0:3:0:0:5, 6+0:4:0:0:5, 6+0:3:0:0:5, 6+0:4:0:0:5, 6+0:3:0:0:4, 7+0:4:0:0:6, 7+0:4:0:0:4, 2+0:1:0:0:1, 122+0:66:0:0:91
Eb minor (6b), 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 7+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1,  , 2+0:0:0:0:0,  , 0+0:0:0:0:0,  , 2+0:0:0:0:0,  , 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 47+0:0:0:0:3
D# minor (6#), 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:5, 7+0:4:0:0:7, 7+0:4:0:0:5, 10+0:5:0:0:10, 6+0:3:0:0:5, 4+0:1:0:0:3,  , 4+0:1:0:0:4,  , 4+0:2:0:0:4,  , 4+0:3:0:0:4,  , 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:5, 7+0:4:0:0:7, 7+0:4:0:0:5, 2+0:1:0:0:2, 122+0:66:0:0:114
Cb major (7b), 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 7+0:0:0:0:4, 3+0:0:0:0:2, 3+0:0:0:0:3,  , 3+0:0:0:0:2,  , 2+0:0:0:0:1,  , 1+0:0:0:0:1,  , 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 59+0:0:0:0:38
C# major (7#), 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:4, 6+0:4:0:0:5, 7+0:4:0:0:5, 10+0:5:0:0:8, 6+0:3:0:0:5, 4+0:1:0:0:3,  , 4+0:1:0:0:3,  , 4+0:2:0:0:3,  , 4+0:3:0:0:4,  , 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:4, 6+0:4:0:0:5, 7+0:4:0:0:5, 2+0:1:0:0:2, 120+0:66:0:0:104
Ab minor (7b), 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 6+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:1,  , 3+0:0:0:0:1,  , 2+0:0:0:0:0,  , 0+0:0:0:0:0,  , 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:1:0:0:1, 53+0:1:0:0:6
A# minor (7#), 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:5, 6+0:4:0:0:6, 7+0:4:0:0:6, 10+0:5:0:0:10, 6+0:3:0:0:5, 4+0:1:0:0:4,  , 4+0:1:0:0:4,  , 4+0:2:0:0:4,  , 4+0:3:0:0:4,  , 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:5, 6+0:4:0:0:6, 7+0:4:0:0:6, 2+0:1:0:0:2, 120+0:66:0:0:115
