 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, rowcost
F# minor (3#), 0+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:1:0:0:3, 2+0:0:0:0:0, 5+0:1:0:0:3, 5+0:1:0:0:2, 4+0:1:0:0:3, 4+0:1:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:1:0:0:3, 2+0:1:0:0:1, 2+0:0:0:0:2, 3+0:1:0:0:1, 2+0:0:0:0:2, 4+0:1:0:0:1, 4+0:1:0:0:2, 1+0:0:0:0:1, 58+0:10:0:0:31
Ab major (4b), 1+0:0:0:0:1, 2+0:0:0:0:1, 5+0:2:0:0:4, 1+0:0:0:0:0, 1+0:1:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:2, 5+0:2:0:0:4, 2+0:0:0:0:1, 5+0:2:0:0:4, 1+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 4+0:1:0:0:3, 2+0:0:0:0:1, 5+0:2:0:0:4, 3+0:0:0:0:2, 2+0:0:0:0:1, 49+0:10:0:0:34
E major (4#), 0+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 5+0:1:0:0:1, 5+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:1, 2+0:1:0:0:1, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:0, 4+0:1:0:0:1, 4+0:1:0:0:1, 2+0:0:0:0:0, 64+0:10:0:0:10
F minor (4b), 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:2, 1+0:0:0:0:0, 1+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:2:0:0:2, 2+0:0:0:0:0, 4+0:2:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 4+0:2:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 40+0:10:0:0:10
C# minor (4#), 0+0:0:0:0:0, 4+0:0:0:0:3, 3+0:0:0:0:1, 5+0:1:0:0:4, 2+0:0:0:0:1, 5+0:1:0:0:4, 5+0:1:0:0:3, 3+0:1:0:0:3, 4+0:1:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:1, 5+0:1:0:0:4, 2+0:1:0:0:2, 3+0:0:0:0:2, 3+0:1:0:0:2, 3+0:0:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:3, 2+0:0:0:0:1, 64+0:10:0:0:43
Db major (5b), 1+0:0:0:0:1, 3+0:0:0:0:2, 5+0:2:0:0:5, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:2, 4+0:0:0:0:3, 2+0:0:0:0:2, 6+0:2:0:0:5, 3+0:0:0:0:2, 5+0:2:0:0:5, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:2, 5+0:1:0:0:4, 2+0:0:0:0:2, 6+0:2:0:0:5, 4+0:0:0:0:3, 2+0:0:0:0:2, 60+0:9:0:0:48
B major (5#), 1+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 5+0:1:0:0:2, 1+0:0:0:0:0, 5+0:1:0:0:2, 5+0:1:0:0:1, 4+0:1:0:0:2, 5+0:1:0:0:1, 5+0:0:0:0:1, 4+0:0:0:0:0, 5+0:1:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:1:0:0:1, 4+0:0:0:0:1, 5+0:1:0:0:1, 5+0:1:0:0:2, 3+0:0:0:0:1, 76+0:9:0:0:19
Bb minor (5b), 1+0:1:0:0:1, 2+0:0:0:0:0, 4+0:2:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 5+0:2:0:0:2, 2+0:0:0:0:0, 4+0:2:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 5+0:2:0:0:2, 3+0:0:0:0:0, 1+0:0:0:0:0, 47+0:10:0:0:11
G# minor (5#), 1+0:0:0:0:0, 5+0:0:0:0:4, 5+0:0:0:0:2, 5+0:1:0:0:5, 1+0:1:0:0:1, 5+0:1:0:0:5, 5+0:1:0:0:4, 4+0:1:0:0:3, 5+0:1:0:0:3, 5+0:0:0:0:4, 5+0:0:0:0:2, 5+0:1:0:0:5, 1+0:0:0:0:0, 4+0:0:0:0:3, 4+0:1:0:0:3, 4+0:0:0:0:3, 5+0:1:0:0:3, 5+0:1:0:0:4, 3+0:0:0:0:2, 77+0:10:0:0:56
Gb major (6b), 1+0:0:0:0:1, 4+0:0:0:0:3, 6+0:2:0:0:5, 3+0:0:0:0:2, 1+0:0:0:0:1, 4+0:0:0:0:3, 5+0:0:0:0:4, 3+0:0:0:0:2, 6+0:2:0:0:6, 4+0:0:0:0:3, 6+0:2:0:0:5, 3+0:0:0:0:2, 2+0:0:0:0:2, 3+0:0:0:0:2, 5+0:1:0:0:5, 3+0:0:0:0:2, 6+0:2:0:0:6, 4+0:0:0:0:4, 2+0:0:0:0:2, 71+0:9:0:0:60
F# major (6#), 1+0:0:0:0:0, 5+0:0:0:0:2, 5+0:0:0:0:1, 5+0:1:0:0:3, 1+0:0:0:0:0, 6+0:1:0:0:3, 6+0:1:0:0:2, 5+0:1:0:0:3, 6+0:1:0:0:1, 5+0:0:0:0:2, 5+0:0:0:0:1, 5+0:1:0:0:3, 2+0:0:0:0:0, 4+0:0:0:0:2, 5+0:1:0:0:1, 4+0:0:0:0:2, 6+0:1:0:0:1, 6+0:1:0:0:2, 3+0:0:0:0:1, 85+0:9:0:0:30
Eb minor (6b), 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:2:0:0:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:1, 5+0:2:0:0:3, 3+0:0:0:0:0, 5+0:2:0:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:2, 2+0:0:0:0:0, 5+0:2:0:0:3, 3+0:0:0:0:1, 1+0:0:0:0:0, 56+0:9:0:0:19
D# minor (6#), 1+0:0:0:0:1, 5+0:0:0:0:5, 5+0:0:0:0:3, 5+0:1:0:0:5, 1+0:0:0:0:1, 6+0:1:0:0:5, 6+0:1:0:0:4, 5+0:1:0:0:4, 7+0:1:0:0:4, 5+0:0:0:0:5, 5+0:0:0:0:3, 5+0:1:0:0:5, 2+0:0:0:0:2, 4+0:0:0:0:4, 6+0:1:0:0:4, 4+0:0:0:0:4, 7+0:1:0:0:4, 6+0:1:0:0:5, 3+0:0:0:0:3, 88+0:9:0:0:71
Cb major (7b), 1+0:0:0:0:1, 5+0:0:0:0:4, 5+0:2:0:0:5, 4+0:0:0:0:3, 1+0:0:0:0:1, 5+0:0:0:0:3, 5+0:0:0:0:5, 4+0:0:0:0:3, 6+0:2:0:0:6, 5+0:0:0:0:4, 5+0:2:0:0:5, 4+0:0:0:0:3, 2+0:0:0:0:2, 4+0:0:0:0:3, 5+0:1:0:0:5, 4+0:0:0:0:3, 6+0:2:0:0:6, 5+0:0:0:0:4, 3+0:0:0:0:2, 79+0:9:0:0:68
C# major (7#), 1+0:0:0:0:0, 5+0:0:0:0:3, 5+0:0:0:0:1, 5+0:1:0:0:4, 1+0:0:0:0:1, 6+0:1:0:0:4, 6+0:1:0:0:3, 5+0:1:0:0:3, 6+0:1:0:0:2, 5+0:0:0:0:3, 5+0:0:0:0:1, 5+0:1:0:0:4, 2+0:0:0:0:1, 4+0:0:0:0:2, 5+0:1:0:0:2, 4+0:0:0:0:2, 6+0:1:0:0:2, 6+0:1:0:0:3, 3+0:0:0:0:1, 85+0:9:0:0:42
Ab minor (7b), 1+0:0:0:0:1, 4+0:0:0:0:1, 5+0:2:0:0:3, 3+0:0:0:0:0, 1+0:1:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:0:0:2, 5+0:2:0:0:4, 4+0:0:0:0:1, 5+0:2:0:0:3, 3+0:0:0:0:0, 1+0:0:0:0:1, 4+0:0:0:0:1, 4+0:1:0:0:3, 4+0:0:0:0:1, 5+0:2:0:0:4, 4+0:0:0:0:2, 3+0:0:0:0:1, 68+0:10:0:0:31
A# minor (7#), 1+0:1:0:0:1, 5+0:0:0:0:5, 5+0:0:0:0:4, 5+0:1:0:0:5, 1+0:0:0:0:1, 6+0:1:0:0:6, 6+0:1:0:0:5, 5+0:1:0:0:5, 6+0:1:0:0:5, 5+0:0:0:0:5, 5+0:0:0:0:4, 5+0:1:0:0:5, 1+0:0:0:0:1, 4+0:0:0:0:4, 5+0:1:0:0:5, 4+0:0:0:0:4, 6+0:1:0:0:5, 6+0:1:0:0:6, 3+0:0:0:0:3, 84+0:10:0:0:79
