 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, rowcost
Eb major (3b), 1+0:0:1:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:0, 8+0:0:3:0:0
A major (3#), 2+0:1:0:0:1, 3+0:2:0:0:1,  ,  , 2+0:0:0:0:0, 3+0:1:0:0:0,  ,  , 2+0:1:0:0:1, 3+0:2:0:0:1, 15+0:7:0:0:4
C minor (3b), 1+0:0:1:0:1, 2+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 3+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 2+0:0:0:0:0, 11+0:0:3:0:3
F# minor (3#), 2+0:1:0:0:1, 3+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:1:0:0:1, 3+0:0:0:0:0, 14+0:2:0:0:2
Ab major (4b), 2+0:0:1:0:0, 2+0:0:0:0:1,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:1,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:1, 10+0:0:3:0:3
E major (4#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
F minor (4b), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
C# minor (4#), 2+0:0:0:0:1, 3+0:0:0:0:1,  ,  , 1+0:0:0:0:1, 2+0:0:0:0:1,  ,  , 2+0:0:0:0:1, 3+0:0:0:0:1, 13+0:0:0:0:6
Db major (5b), 2+0:0:1:0:1, 2+0:0:0:0:2,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:1,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:2, 10+0:0:3:0:7
B major (5#), 2+0:0:0:0:1, 4+0:0:0:0:1,  ,  , 1+0:0:0:0:1, 3+0:0:0:0:1,  ,  , 2+0:0:0:0:1, 4+0:0:0:0:1, 16+0:0:0:0:6
Bb minor (5b), 2+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 0+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 1+0:0:0:0:0, 7+0:0:3:0:3
G# minor (5#), 2+0:0:0:0:2, 4+0:0:0:0:2,  ,  , 1+0:0:0:0:1, 3+0:0:0:0:1,  ,  , 2+0:0:0:0:2, 4+0:0:0:0:2, 16+0:0:0:0:10
Gb major (6b), 2+0:0:1:0:1, 2+0:0:0:0:2,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:1,  ,  , 2+0:0:1:0:1, 2+0:0:0:0:2, 10+0:0:3:0:7
F# major (6#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
Eb minor (6b), 1+0:0:1:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:0, 8+0:0:3:0:0
D# minor (6#), 1+0:0:0:0:0, 2+0:0:0:0:1,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:1,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:1, 11+0:0:0:0:3
Cb major (7b), 3+0:0:0:0:1, 3+0:0:0:0:2,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:1,  ,  , 3+0:0:0:0:1, 3+0:0:0:0:2, 16+0:0:0:0:7
C# major (7#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
Ab minor (7b), 3+0:0:0:0:0, 3+0:0:0:0:1,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:1,  ,  , 3+0:0:0:0:0, 3+0:0:0:0:1, 16+0:0:0:0:3
A# minor (7#), 2+0:0:0:0:2, 1+0:0:0:0:1,  ,  , 1+0:0:0:0:1, 0+0:0:0:0:0,  ,  , 2+0:0:0:0:2, 1+0:0:0:0:1, 7+0:0:0:0:7
