 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
F phrygian (1b), 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+2:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 3+1:0:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:0:0:2, 0+0:0:0:0:0, 36+3:0:3:0:10
G phrygian (1#), 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 8+2:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 5+1:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:1, 9+0:0:0:0:2, 1+0:0:0:0:0, 64+3:0:3:0:10
F lydian (1b), 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 8+2:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 5+1:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:1, 9+0:0:0:0:2, 1+0:0:0:0:0, 64+3:0:3:0:10
G lydian (1#), 5+0:3:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:0, 7+0:4:1:0:3, 5+0:3:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:0, 8+2:4:0:0:2, 3+0:2:0:0:0, 5+0:3:0:0:0, 5+0:4:1:0:2, 6+1:2:0:0:1, 3+0:2:0:0:0, 3+0:2:0:0:0, 7+0:5:1:0:2, 10+0:4:0:0:2, 3+0:1:0:0:0, 82+3:49:3:0:12
F mixolydian (1b), 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+2:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 3+1:0:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:0:0:2, 0+0:0:0:0:0, 36+3:0:3:0:10
G mixolydian (1#), 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 8+2:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 5+1:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:1, 9+0:0:0:0:2, 1+0:0:0:0:0, 64+3:0:3:0:10
F aeolian (1b), 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 7+2:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 4+1:0:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 8+0:0:0:0:2, 1+0:0:0:0:0, 51+3:0:3:0:10
G aeolian (1#), 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:1:0:2, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+2:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:1, 5+1:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:1:0:1, 9+0:0:0:0:1, 2+0:0:0:0:0, 75+3:0:3:0:9
F locrian (1b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:1:1:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+2:2:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 4+1:2:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:1, 8+0:1:0:0:1, 1+0:0:0:0:0, 28+3:6:3:0:9
G locrian (1#), 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 7+2:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 4+1:0:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 8+0:0:0:0:2, 1+0:0:0:0:0, 51+3:0:3:0:10
