 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, rowcost
Eb major (3b), 2+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 4+0:1:0:0:3, 38+0:1:1:0:14
A major (3#), 3+0:0:0:0:0, 4+0:2:0:0:1, 4+0:2:0:0:1, 6+0:3:1:0:2, 6+0:3:0:0:2, 5+0:3:0:0:2, 6+0:3:0:0:2, 8+0:4:0:0:3, 5+0:2:0:0:1, 4+0:1:0:0:1, 4+0:2:0:0:1, 2+0:0:0:0:0, 4+0:2:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 67+0:27:1:0:17
C minor (3b), 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 42+0:5:1:0:3
F# minor (3#), 4+0:0:0:0:2, 4+0:2:0:0:2, 5+0:2:0:0:4, 7+0:3:1:0:5, 6+0:3:0:0:5, 5+0:3:0:0:4, 6+0:3:0:0:5, 8+0:4:0:0:5, 5+0:2:0:0:3, 3+0:1:0:0:2, 4+0:2:0:0:3, 2+0:0:0:0:2, 4+0:2:0:0:3, 5+0:0:0:0:2, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 73+0:27:1:0:47
Ab major (4b), 2+0:0:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:1:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 5+0:0:0:0:3, 5+0:0:0:0:3, 4+0:0:0:0:2, 4+0:0:0:0:3, 4+0:1:0:0:4, 47+0:1:1:0:25
E major (4#), 3+0:0:0:0:0, 5+0:2:0:0:2, 5+0:2:0:0:2, 7+0:3:1:0:3, 6+0:3:0:0:3, 5+0:3:0:0:3, 6+0:3:0:0:3, 8+0:4:0:0:4, 6+0:2:0:0:2, 4+0:0:0:0:0, 5+0:2:0:0:2, 3+0:0:0:0:0, 5+0:2:0:0:2, 5+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 77+0:26:1:0:26
F minor (4b), 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 48+0:1:1:0:2
C# minor (4#), 3+0:0:0:0:3, 5+0:2:0:0:4, 5+0:2:0:0:3, 7+0:3:1:0:6, 6+0:3:0:0:6, 5+0:3:0:0:4, 6+0:3:0:0:6, 8+0:4:0:0:6, 6+0:2:0:0:4, 3+0:0:0:0:2, 5+0:2:0:0:4, 4+0:0:0:0:1, 5+0:2:0:0:4, 5+0:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 81+0:26:1:0:57
Db major (5b), 3+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:3, 5+0:0:1:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:3, 3+0:0:0:0:2, 6+0:0:0:0:4, 6+0:0:0:0:4, 3+0:0:0:0:3, 3+0:0:0:0:3, 4+0:0:0:0:3, 54+0:0:1:0:36
B major (5#), 4+0:0:0:0:1, 5+0:2:0:0:3, 6+0:2:0:0:3, 7+0:3:1:0:4, 6+0:3:0:0:4, 5+0:3:0:0:4, 6+0:3:0:0:4, 8+0:4:0:0:5, 6+0:2:0:0:3, 5+0:0:0:0:1, 6+0:2:0:0:2, 4+0:0:0:0:1, 6+0:2:0:0:2, 6+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 88+0:26:1:0:38
Bb minor (5b), 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 50+0:1:1:0:7
G# minor (5#), 4+0:0:0:0:3, 5+0:2:0:0:5, 6+0:2:0:0:5, 7+0:3:1:0:7, 6+0:3:0:0:6, 5+0:3:0:0:4, 6+0:3:0:0:6, 8+0:4:0:0:7, 6+0:2:0:0:5, 4+0:0:1:0:2, 6+0:2:0:0:5, 4+0:0:0:0:3, 6+0:2:0:0:5, 6+0:0:0:0:4, 4+0:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:1, 90+0:27:2:0:71
Gb major (6b), 4+0:0:0:0:3, 2+0:0:0:0:2, 5+0:0:0:0:3, 4+0:0:0:0:3, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:2, 2+0:0:0:0:2, 4+0:0:0:0:3, 4+0:0:0:0:3, 4+0:0:0:0:3, 4+0:0:0:0:3, 7+0:0:0:0:5, 6+0:0:0:0:5, 2+0:0:0:0:2, 2+0:0:0:0:2, 3+0:0:0:0:3, 59+0:0:0:0:46
F# major (6#), 5+0:0:0:0:2, 5+0:2:0:0:2, 7+0:2:0:0:4, 8+0:3:1:0:5, 6+0:3:0:0:5, 5+0:3:0:0:4, 6+0:3:0:0:5, 8+0:4:0:0:5, 6+0:2:0:0:3, 4+0:0:0:0:1, 6+0:2:0:0:3, 4+0:0:0:0:2, 6+0:2:0:0:3, 7+0:0:0:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 94+0:26:1:0:46
Eb minor (6b), 4+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 6+0:0:0:0:2, 5+0:0:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 50+0:0:0:0:10
D# minor (6#), 5+0:0:0:0:4, 5+0:2:0:0:4, 7+0:2:0:0:6, 8+0:3:1:0:7, 6+0:3:0:0:6, 5+0:3:0:0:4, 6+0:3:0:0:6, 8+0:4:0:0:7, 6+0:2:0:0:5, 3+0:0:0:0:3, 6+0:2:0:0:6, 4+0:0:0:0:4, 6+0:2:0:0:6, 7+0:0:0:0:5, 3+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:2, 91+0:26:1:0:79
Cb major (7b), 5+0:0:0:0:4, 3+0:0:0:0:2, 6+0:0:0:0:4, 5+0:0:0:0:4, 3+0:0:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:4, 4+0:0:0:0:4, 5+0:0:0:0:4, 4+0:0:0:0:4, 8+0:0:0:0:6, 6+0:0:0:0:5, 2+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:2, 69+0:0:0:0:54
C# major (7#), 5+0:0:0:0:3, 5+0:2:0:0:3, 7+0:2:0:0:3, 8+0:3:1:0:6, 6+0:3:0:0:6, 5+0:3:0:0:4, 6+0:3:0:0:6, 8+0:4:0:0:6, 6+0:2:0:0:4, 3+0:0:0:0:1, 6+0:2:0:0:4, 5+0:0:0:0:1, 6+0:2:0:0:4, 7+0:0:0:0:2, 5+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 98+0:26:1:0:55
Ab minor (7b), 4+0:0:0:0:2, 2+0:0:0:0:0, 6+0:0:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:0:0:2, 3+0:0:0:0:1, 7+0:0:0:0:3, 5+0:0:0:0:3, 3+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 63+0:0:0:0:19
A# minor (7#), 5+0:0:0:0:5, 5+0:2:0:0:4, 7+0:2:0:0:6, 8+0:3:1:0:8, 6+0:3:0:0:6, 5+0:3:0:0:4, 6+0:3:0:0:6, 8+0:4:0:0:7, 6+0:2:0:0:5, 4+0:0:0:0:3, 6+0:2:0:0:6, 5+0:0:0:0:3, 6+0:2:0:0:6, 7+0:0:0:0:5, 5+0:0:0:0:4, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:2, 96+0:26:1:0:82
